Place,Country,Name,Age,RT,Status,Time,50 Split,100 Split,Event,Round
1,HUN,Hubert KOS,21,0.52,QUALIFIED,1900-01-01 00:00:52.780,25.71,27.07,Mens 100M Backstroke,Heats
2,RSA,Pieter COETZE,20,0.68,QUALIFIED,1900-01-01 00:00:52.900,25.49,27.41,Mens 100M Backstroke,Heats
3,POL,Ksawery MASIUK,19,0.63,QUALIFIED,1900-01-01 00:00:53.080,25.14,27.94,Mens 100M Backstroke,Heats
4,CHN,Jiayu XU,28,0.56,QUALIFIED,1900-01-01 00:00:53.200,25.75,27.45,Mens 100M Backstroke,Heats
5,FRA,Yohann NDOYE-BROUARD,23,0.55,QUALIFIED,1900-01-01 00:00:53.200,25.99,27.21,Mens 100M Backstroke,Heats
6,GRE,Evangelos MAKRYGIANNIS,24,0.59,QUALIFIED,1900-01-01 00:00:53.240,25.67,27.57,Mens 100M Backstroke,Heats
7,USA,Hunter ARMSTRONG,23,0.61,QUALIFIED,1900-01-01 00:00:53.340,25.64,27.70,Mens 100M Backstroke,Heats
8,CZE,Miroslav KNEDLA,19,0.53,QUALIFIED,1900-01-01 00:00:53.410,25.34,28.07,Mens 100M Backstroke,Heats
9,ITA,Thomas CECCON,23,0.63,QUALIFIED,1900-01-01 00:00:53.450,25.71,27.74,Mens 100M Backstroke,Heats
10,ESP,Hugo GONZALEZ,25,0.59,QUALIFIED,1900-01-01 00:00:53.680,26.25,27.43,Mens 100M Backstroke,Heats
11,GER,Ole BRAUNSCHWEIG,26,0.61,QUALIFIED,1900-01-01 00:00:53.950,25.86,28.09,Mens 100M Backstroke,Heats
12,HUN,Adam JASZO,22,0.64,QUALIFIED,1900-01-01 00:00:53.970,26.11,27.86,Mens 100M Backstroke,Heats
13,CAN,Javier ACEVEDO,26,0.59,QUALIFIED,1900-01-01 00:00:54.190,26.31,27.88,Mens 100M Backstroke,Heats
14,NED,Kai VAN WESTERING,20,0.69,QUALIFIED,1900-01-01 00:00:54.210,26.02,28.19,Mens 100M Backstroke,Heats
15,AUS,Isaac COOPER,20,0.54,QUALIFIED,1900-01-01 00:00:54.210,25.94,28.27,Mens 100M Backstroke,Heats
16,ITA,Michele LAMBERTI,23,0.55,QUALIFIED,1900-01-01 00:00:54.220,25.94,28.28,Mens 100M Backstroke,Heats
17,UKR,Oleksandr ZHELTIAKOV,18,0.56,ELIMINATED,1900-01-01 00:00:54.320,26.07,28.25,Mens 100M Backstroke,Heats
18,SUI,Thierry BOLLIN,24,0.60,ELIMINATED,1900-01-01 00:00:54.350,25.78,28.57,Mens 100M Backstroke,Heats
19,ISV,Maximillian WILSON,20,0.55,ELIMINATED,1900-01-01 00:00:54.490,26.08,28.41,Mens 100M Backstroke,Heats
20,ISR,Adam MARAANA,21,0.54,ELIMINATED,1900-01-01 00:00:54.610,25.78,28.83,Mens 100M Backstroke,Heats
21,GER,Marek ULRICH,27,0.66,ELIMINATED,1900-01-01 00:00:54.630,26.11,28.52,Mens 100M Backstroke,Heats
22,KOR,Juho LEE,29,0.60,ELIMINATED,1900-01-01 00:00:54.650,26.15,28.50,Mens 100M Backstroke,Heats
23,JPN,Riku MATSUYAMA,22,0.51,ELIMINATED,1900-01-01 00:00:54.710,26.29,28.42,Mens 100M Backstroke,Heats
24,POR,Joao COSTA,22,0.58,ELIMINATED,1900-01-01 00:00:54.900,26.52,28.38,Mens 100M Backstroke,Heats
25,NZL,Kane FOLLOWS,27,0.63,ELIMINATED,1900-01-01 00:00:55.010,26.46,28.55,Mens 100M Backstroke,Heats
26,IND,Srihari NATARAJ,23,0.58,ELIMINATED,1900-01-01 00:00:55.010,26.50,28.51,Mens 100M Backstroke,Heats
27,ARG,Ulises SARAVIA,18,0.53,ELIMINATED,1900-01-01 00:00:55.030,26.13,28.90,Mens 100M Backstroke,Heats
28,AUT,Bernhard REITSHAMMER,30,0.64,ELIMINATED,1900-01-01 00:00:55.130,26.54,28.59,Mens 100M Backstroke,Heats
29,COL,Anthony RINCON VELASCO,23,0.52,ELIMINATED,1900-01-01 00:00:55.420,26.51,28.91,Mens 100M Backstroke,Heats
30,PUR,Yeziel MORALES,28,0.52,ELIMINATED,1900-01-01 00:00:55.760,26.83,28.93,Mens 100M Backstroke,Heats
31,BER,Jack HARVEY,21,0.56,ELIMINATED,1900-01-01 00:00:55.780,26.84,28.94,Mens 100M Backstroke,Heats
32,TUR,Berke SAKA,21,0.58,ELIMINATED,1900-01-01 00:00:55.850,26.59,29.26,Mens 100M Backstroke,Heats
33,GEO,Noe PANTSKHAVA,18,0.57,ELIMINATED,1900-01-01 00:00:56.460,27.33,29.13,Mens 100M Backstroke,Heats
34,BEN,Alexis Michel Roger Dodji KPADE,18,0.59,ELIMINATED,1900-01-01 00:00:57.610,27.72,29.89,Mens 100M Backstroke,Heats
35,PLE,Yazan AL BAWWAB,24,0.61,ELIMINATED,1900-01-01 00:00:58.260,28.06,30.20,Mens 100M Backstroke,Heats
36,GRN,Zackary GRESHAM,19,0.58,ELIMINATED,1900-01-01 00:00:58.920,28.21,30.71,Mens 100M Backstroke,Heats
37,BRU,Zeke CHAN,16,0.58,ELIMINATED,1900-01-01 00:01:00.380,29.18,31.20,Mens 100M Backstroke,Heats
38,TGA,Alan Koti Lopeti UHI,18,0.69,ELIMINATED,1900-01-01 00:01:00.620,28.70,31.92,Mens 100M Backstroke,Heats
