Place,Country,Name,Age,RT,Status,Time,50 Split,100 Split,Event,Round
1,CHN,Jiayu XU,28,0.52,QUALIFIED,1900-01-01 00:00:52.020,24.89,27.13,Mens 100M Backstroke,Semifinals
2,ITA,Thomas CECCON,23,0.61,QUALIFIED,1900-01-01 00:00:52.580,25.46,27.12,Mens 100M Backstroke,Semifinals
3,FRA,Yohann NDOYE-BROUARD,23,0.55,QUALIFIED,1900-01-01 00:00:52.630,25.65,26.98,Mens 100M Backstroke,Semifinals
4,RSA,Pieter COETZE,20,0.67,QUALIFIED,1900-01-01 00:00:52.630,25.40,27.23,Mens 100M Backstroke,Semifinals
5,USA,Ryan MURPHY,29,0.52,QUALIFIED,1900-01-01 00:00:52.720,25.49,27.23,Mens 100M Backstroke,Semifinals
6,GRE,Apostolos CHRISTOU,27,0.58,QUALIFIED,1900-01-01 00:00:52.770,25.42,27.35,Mens 100M Backstroke,Semifinals
7,GBR,Oliver MORGAN,21,0.60,QUALIFIED,1900-01-01 00:00:52.850,25.69,27.16,Mens 100M Backstroke,Semifinals
8,ESP,Hugo GONZALEZ,25,0.64,QUALIFIED,1900-01-01 00:00:52.950,25.51,27.44,Mens 100M Backstroke,Semifinals
9,GRE,Evangelos MAKRYGIANNIS,24,0.56,ELIMINATED,1900-01-01 00:00:52.970,25.48,27.49,Mens 100M Backstroke,Semifinals
10,HUN,Hubert KOS,21,0.54,ELIMINATED,1900-01-01 00:00:52.980,25.87,27.11,Mens 100M Backstroke,Semifinals
11,USA,Hunter ARMSTRONG,23,0.66,ELIMINATED,1900-01-01 00:00:53.110,25.53,27.58,Mens 100M Backstroke,Semifinals
12,CZE,Miroslav KNEDLA,19,0.52,ELIMINATED,1900-01-01 00:00:53.440,25.37,28.07,Mens 100M Backstroke,Semifinals
13,POL,Ksawery MASIUK,19,0.61,ELIMINATED,1900-01-01 00:00:53.440,25.53,27.91,Mens 100M Backstroke,Semifinals
14,GBR,Jonathon MARSHALL,19,0.60,ELIMINATED,1900-01-01 00:00:53.460,25.89,27.57,Mens 100M Backstroke,Semifinals
15,FRA,Mewen TOMAC,22,0.61,ELIMINATED,1900-01-01 00:00:53.630,25.81,27.82,Mens 100M Backstroke,Semifinals
16,CAN,Blake TIERNEY,22,0.54,ELIMINATED,1900-01-01 00:00:53.710,26.06,27.65,Mens 100M Backstroke,Semifinals
