Place,Country,Name,Age,RT,Status,Time,50 Split,100 Split,Event,Round
1,GBR,Adam PEATY,29,0.63,QUALIFIED,1900-01-01 00:00:58.860,26.90,31.96,Mens 100M Breastroke,Semmifinals
2,CHN,Haiyang QIN,25,0.64,QUALIFIED,1900-01-01 00:00:58.930,27.12,31.81,Mens 100M Breastroke,Semmifinals
3,NED,Arno KAMMINGA,28,0.68,QUALIFIED,1900-01-01 00:00:59.120,27.64,31.48,Mens 100M Breastroke,Semmifinals
4,USA,Nic FINK,31,0.68,QUALIFIED,1900-01-01 00:00:59.160,27.44,31.72,Mens 100M Breastroke,Semmifinals
5,NED,Caspar CORBEAU,23,0.67,QUALIFIED,1900-01-01 00:00:59.240,27.70,31.54,Mens 100M Breastroke,Semmifinals
6,ITA,Nicolo MARTINENGHI,24,0.65,QUALIFIED,1900-01-01 00:00:59.280,27.43,31.85,Mens 100M Breastroke,Semmifinals
7,GER,Lucas MATZERATH,24,0.70,QUALIFIED,1900-01-01 00:00:59.310,27.72,31.59,Mens 100M Breastroke,Semmifinals
8,GER,Melvin IMOUDU,25,0.68,QUALIFIED,1900-01-01 00:00:59.380,27.67,31.71,Mens 100M Breastroke,Semmifinals
9,ITA,Ludovico Blu Art VIBERTI,22,0.66,QUALIFIED,1900-01-01 00:00:59.380,28.18,31.20,Mens 100M Breastroke,Semmifinals
10,AIN,Ilya SHYMANOVICH,29,0.63,QUALIFIED,1900-01-01 00:00:59.450,27.16,32.29,Mens 100M Breastroke,Semmifinals
11,GBR,James WILBY,30,0.69,ELIMINATED,1900-01-01 00:00:59.490,27.91,31.58,Mens 100M Breastroke,Semmifinals
12,AUS,Joshua YONG,23,0.65,ELIMINATED,1900-01-01 00:00:59.640,28.37,31.27,Mens 100M Breastroke,Semmifinals
13,AIN,Evgenii SOMOV,25,0.77,ELIMINATED,1900-01-01 00:01:00.000,27.66,32.34,Mens 100M Breastroke,Semmifinals
14,USA,Charlie SWANSON,26,0.68,ELIMINATED,1900-01-01 00:01:00.160,28.14,32.02,Mens 100M Breastroke,Semmifinals
15,AUT,Bernhard REITSHAMMER,30,0.68,ELIMINATED,1900-01-01 00:01:00.180,27.79,32.39,Mens 100M Breastroke,Semmifinals
16,ISR,Ron POLONSKY,23,0.72,ELIMINATED,1900-01-01 00:01:00.370,28.23,32.14,Mens 100M Breastroke,Semmifinals
