Place,Country,Name,Age,RT,Status,Time,50 Split,100 Split,Event,Round
1,HUN,Kristof MILAK,24,0.68,QUALIFIED,1900-01-01 00:00:50.190,23.57,26.62,Mens 100M Butterfly,Heats
2,CAN,Josh LIENDO,21,0.63,QUALIFIED,1900-01-01 00:00:50.550,23.62,26.93,Mens 100M Butterfly,Heats
3,FRA,Maxime GROUSSET,25,0.63,QUALIFIED,1900-01-01 00:00:50.650,23.27,27.38,Mens 100M Butterfly,Heats
4,SUI,Noe PONTI,23,0.66,QUALIFIED,1900-01-01 00:00:50.650,23.98,26.67,Mens 100M Butterfly,Heats
5,CAN,Ilya KHARUN,19,0.65,QUALIFIED,1900-01-01 00:00:50.710,23.80,26.91,Mens 100M Butterfly,Heats
6,USA,Caeleb DRESSEL,27,0.66,QUALIFIED,1900-01-01 00:00:50.830,23.75,27.08,Mens 100M Butterfly,Heats
7,AUS,Matthew TEMPLE,25,0.63,QUALIFIED,1900-01-01 00:00:50.890,23.91,26.98,Mens 100M Butterfly,Heats
8,NED,Nyls KORSTANJE,25,0.64,QUALIFIED,1900-01-01 00:00:51.170,23.12,28.05,Mens 100M Butterfly,Heats
9,POL,Jakub MAJERSKI,23,0.68,QUALIFIED,1900-01-01 00:00:51.180,23.84,27.34,Mens 100M Butterfly,Heats
10,ISR,Gal COHEN GROUMI,22,0.60,QUALIFIED,1900-01-01 00:00:51.300,24.07,27.23,Mens 100M Butterfly,Heats
11,AUS,Ben ARMBRUSTER,22,0.64,QUALIFIED,1900-01-01 00:00:51.330,23.66,27.67,Mens 100M Butterfly,Heats
12,JPN,Katsuhiro MATSUMOTO,27,0.67,QUALIFIED,1900-01-01 00:00:51.430,24.18,27.25,Mens 100M Butterfly,Heats
13,AUT,Simon BUCHER,24,0.60,QUALIFIED,1900-01-01 00:00:51.550,23.84,27.71,Mens 100M Butterfly,Heats
14,HUN,Hubert KOS,21,0.61,QUALIFIED,1900-01-01 00:00:51.580,24.16,27.42,Mens 100M Butterfly,Heats
15,JPN,Naoki MIZUNUMA,27,0.68,QUALIFIED,1900-01-01 00:00:51.620,24.20,27.42,Mens 100M Butterfly,Heats
16,FRA,Clement SECCHI,24,0.58,QUALIFIED,1900-01-01 00:00:51.620,23.83,27.79,Mens 100M Butterfly,Heats
17,BUL,Josif MILADINOV,21,0.65,ELIMINATED,1900-01-01 00:00:51.770,23.95,27.82,Mens 100M Butterfly,Heats
18,USA,Thomas HEILMAN,17,0.66,ELIMINATED,1900-01-01 00:00:51.820,24.26,27.56,Mens 100M Butterfly,Heats
19,CHN,Jiajun SUN,24,0.61,ELIMINATED,1900-01-01 00:00:51.850,23.97,27.88,Mens 100M Butterfly,Heats
20,POR,Diogo MATOS RIBEIRO,19,0.64,ELIMINATED,1900-01-01 00:00:51.900,24.08,27.82,Mens 100M Butterfly,Heats
21,ISR,Tomer FRANKEL,23,0.59,ELIMINATED,1900-01-01 00:00:51.940,24.16,27.78,Mens 100M Butterfly,Heats
22,BRA,Kayky MOTA,25,0.63,ELIMINATED,1900-01-01 00:00:52.110,24.24,27.87,Mens 100M Butterfly,Heats
23,GBR,James GUY,28,0.60,ELIMINATED,1900-01-01 00:00:52.230,24.05,28.18,Mens 100M Butterfly,Heats
24,RSA,Chad LE CLOS,32,0.60,ELIMINATED,1900-01-01 00:00:52.240,24.50,27.74,Mens 100M Butterfly,Heats
25,ESP,Mario MOLLA YANES,22,0.63,ELIMINATED,1900-01-01 00:00:52.270,24.15,28.12,Mens 100M Butterfly,Heats
26,CHN,Changhao WANG,22,0.62,ELIMINATED,1900-01-01 00:00:52.370,24.21,28.16,Mens 100M Butterfly,Heats
27,CZE,Daniel GRACIK,19,0.61,ELIMINATED,1900-01-01 00:00:52.610,24.44,28.17,Mens 100M Butterfly,Heats
28,GER,Kaii WINKLER,18,0.65,ELIMINATED,1900-01-01 00:00:52.640,24.31,28.33,Mens 100M Butterfly,Heats
29,KAZ,Adilbek MUSSIN,24,0.65,ELIMINATED,1900-01-01 00:00:52.740,24.67,28.07,Mens 100M Butterfly,Heats
30,CRO,Nikola MILJENIC,26,0.66,ELIMINATED,1900-01-01 00:00:53.320,24.15,29.17,Mens 100M Butterfly,Heats
31,UGA,Jesse Ssuubi SSENGONZI,21,0.60,ELIMINATED,1900-01-01 00:00:53.760,25.28,28.48,Mens 100M Butterfly,Heats
32,NZL,Cameron GRAY,20,0.68,ELIMINATED,1900-01-01 00:00:53.830,24.43,29.40,Mens 100M Butterfly,Heats
