Place,Country,Name,Age,RT,Status,Time,50 Split,100 Split,Event,Round
1,HUN,Kristof MILAK,24,0.67,QUALIFIED,1900-01-01 00:00:50.380,23.29,27.09,Mens 100M Butterfly,Semifinals
2,FRA,Maxime GROUSSET,25,0.62,QUALIFIED,1900-01-01 00:00:50.410,23.15,27.26,Mens 100M Butterfly,Semifinals
3,CAN,Josh LIENDO,21,0.64,QUALIFIED,1900-01-01 00:00:50.420,23.77,26.65,Mens 100M Butterfly,Semifinals
4,NED,Nyls KORSTANJE,25,0.62,QUALIFIED,1900-01-01 00:00:50.590,23.10,27.49,Mens 100M Butterfly,Semifinals
5,SUI,Noe PONTI,23,0.67,QUALIFIED,1900-01-01 00:00:50.600,24.00,26.60,Mens 100M Butterfly,Semifinals
6,CAN,Ilya KHARUN,19,0.65,QUALIFIED,1900-01-01 00:00:50.680,24.06,26.62,Mens 100M Butterfly,Semifinals
7,AUS,Matthew TEMPLE,25,0.62,QUALIFIED,1900-01-01 00:00:50.950,24.00,26.95,Mens 100M Butterfly,Semifinals
8,JPN,Naoki MIZUNUMA,27,0.67,QUALIFIED,1900-01-01 00:00:51.080,24.03,27.05,Mens 100M Butterfly,Semifinals
9,AUS,Ben ARMBRUSTER,22,0.64,ELIMINATED,1900-01-01 00:00:51.170,23.69,27.48,Mens 100M Butterfly,Semifinals
10,AUT,Simon BUCHER,24,0.62,ELIMINATED,1900-01-01 00:00:51.350,23.90,27.45,Mens 100M Butterfly,Semifinals
11,POL,Jakub MAJERSKI,23,0.69,ELIMINATED,1900-01-01 00:00:51.370,23.88,27.49,Mens 100M Butterfly,Semifinals
12,ISR,Gal COHEN GROUMI,22,0.55,ELIMINATED,1900-01-01 00:00:51.480,23.79,27.69,Mens 100M Butterfly,Semifinals
13,USA,Caeleb DRESSEL,27,0.65,ELIMINATED,1900-01-01 00:00:51.570,24.32,27.25,Mens 100M Butterfly,Semifinals
14,FRA,Clement SECCHI,24,0.58,ELIMINATED,1900-01-01 00:00:51.580,23.89,27.69,Mens 100M Butterfly,Semifinals
15,JPN,Katsuhiro MATSUMOTO,27,0.67,ELIMINATED,1900-01-01 00:00:51.690,24.32,27.37,Mens 100M Butterfly,Semifinals
16,HUN,Hubert KOS,21,0.61,ELIMINATED,1900-01-01 00:00:52.220,23.86,28.36,Mens 100M Butterfly,Semifinals
