Place,Country,Name,Age,RT,Status,Time,50 Split,100 Split,Event,Round
1,USA,Jack ALEXY,21,0.73,QUALIFIED,1900-01-01 00:00:47.570,22.69,24.88,Mens 100M Freestyle,Heats
2,FRA,Maxime GROUSSET,25,0.62,QUALIFIED,1900-01-01 00:00:47.700,22.62,25.08,Mens 100M Freestyle,Heats
3,CAY,Jordan CROOKS,22,0.63,QUALIFIED,1900-01-01 00:00:48.010,22.82,25.19,Mens 100M Freestyle,Heats
4,AUS,Kyle CHALMERS,26,0.66,QUALIFIED,1900-01-01 00:00:48.070,23.26,24.81,Mens 100M Freestyle,Heats
5,ITA,Alessandro MIRESSI,25,0.72,QUALIFIED,1900-01-01 00:00:48.240,23.12,25.12,Mens 100M Freestyle,Heats
6,GER,Josha SALCHOW,25,0.70,QUALIFIED,1900-01-01 00:00:48.250,23.20,25.05,Mens 100M Freestyle,Heats
7,CAN,Josh LIENDO,21,0.62,QUALIFIED,1900-01-01 00:00:48.340,23.16,25.18,Mens 100M Freestyle,Heats
8,BRA,Guilherme SANTOS,21,0.59,QUALIFIED,1900-01-01 00:00:48.350,23.17,25.18,Mens 100M Freestyle,Heats
9,CHN,Zhanle PAN,19,0.62,QUALIFIED,1900-01-01 00:00:48.400,23.53,24.87,Mens 100M Freestyle,Heats
10,GBR,Matthew RICHARDS,21,0.60,QUALIFIED,1900-01-01 00:00:48.400,23.56,24.84,Mens 100M Freestyle,Heats
11,SRB,Velimir STJEPANOVIC,30,0.61,QUALIFIED,1900-01-01 00:00:48.400,23.39,25.01,Mens 100M Freestyle,Heats
12,KOR,Sunwoo HWANG,21,0.61,QUALIFIED,1900-01-01 00:00:48.410,23.03,25.38,Mens 100M Freestyle,Heats
13,AUS,William YANG,25,0.66,QUALIFIED,1900-01-01 00:00:48.460,23.40,25.06,Mens 100M Freestyle,Heats
14,ESP,Sergio DE CELIS MONTALBAN,24,0.69,QUALIFIED,1900-01-01 00:00:48.490,23.34,25.15,Mens 100M Freestyle,Heats
15,LTU,Danas RAPSYS,29,0.65,QUALIFIED,1900-01-01 00:00:48.530,23.32,25.21,Mens 100M Freestyle,Heats
16,ISR,Tomer FRANKEL,23,0.61,QUALIFIED,1900-01-01 00:00:48.660,23.11,25.55,Mens 100M Freestyle,Heats
17,CHN,Haoyu WANG,19,0.58,ELIMINATED,1900-01-01 00:00:48.790,23.25,25.54,Mens 100M Freestyle,Heats
18,NED,Sean NIEWOLD,22,0.69,ELIMINATED,1900-01-01 00:00:48.820,23.13,25.69,Mens 100M Freestyle,Heats
19,FRA,Rafael FENTE--DAMERS,17,0.64,ELIMINATED,1900-01-01 00:00:48.820,23.35,25.47,Mens 100M Freestyle,Heats
20,ARU,Mikel SCHREUDERS,25,0.64,ELIMINATED,1900-01-01 00:00:48.840,23.27,25.57,Mens 100M Freestyle,Heats
21,BAH,Lamar TAYLOR,21,0.62,ELIMINATED,1900-01-01 00:00:48.840,22.76,26.08,Mens 100M Freestyle,Heats
22,CAN,Yuri KISIL,28,0.69,ELIMINATED,1900-01-01 00:00:49.060,23.62,25.44,Mens 100M Freestyle,Heats
23,LUX,Ralph DALEIDEN CIUFERRI,21,0.62,ELIMINATED,1900-01-01 00:00:49.120,23.29,25.83,Mens 100M Freestyle,Heats
24,NZL,Cameron GRAY,20,0.67,ELIMINATED,1900-01-01 00:00:49.240,23.76,25.48,Mens 100M Freestyle,Heats
25,MEX,Jorge IGA,27,0.66,ELIMINATED,1900-01-01 00:00:49.280,23.59,25.69,Mens 100M Freestyle,Heats
26,CRO,Nikola MILJENIC,26,0.70,ELIMINATED,1900-01-01 00:00:49.340,23.46,25.88,Mens 100M Freestyle,Heats
27,TTO,Dylan CARTER,28,0.67,ELIMINATED,1900-01-01 00:00:49.350,23.46,25.89,Mens 100M Freestyle,Heats
28,POL,Jakub MAJERSKI,23,0.69,ELIMINATED,1900-01-01 00:00:49.440,23.57,25.87,Mens 100M Freestyle,Heats
29,VEN,Alberto MESTRE,25,0.67,ELIMINATED,1900-01-01 00:00:49.510,23.18,26.33,Mens 100M Freestyle,Heats
30,SGP,Jonathan Eu Jin TAN,22,0.55,ELIMINATED,1900-01-01 00:00:49.600,23.08,26.52,Mens 100M Freestyle,Heats
31,CZE,Daniel GRACIK,19,0.64,ELIMINATED,1900-01-01 00:00:49.650,23.55,26.10,Mens 100M Freestyle,Heats
32,SWE,Bjoern SEELIGER,24,0.64,ELIMINATED,1900-01-01 00:00:49.700,23.08,26.62,Mens 100M Freestyle,Heats
33,KAZ,Adilbek MUSSIN,24,0.63,ELIMINATED,1900-01-01 00:00:49.920,24.17,25.75,Mens 100M Freestyle,Heats
34,LBN,Simon DOUEIHY,22,0.64,ELIMINATED,1900-01-01 00:00:50.100,23.74,26.36,Mens 100M Freestyle,Heats
35,CYP,Nikolas ANTONIOU,20,0.67,ELIMINATED,1900-01-01 00:00:50.350,23.60,26.75,Mens 100M Freestyle,Heats
36,UAE,Yousuf ALMATROOSHI,21,0.67,ELIMINATED,1900-01-01 00:00:50.390,23.65,26.74,Mens 100M Freestyle,Heats
37,LCA,Jayhan Jamaud ODLUM-SMITH,22,0.67,ELIMINATED,1900-01-01 00:00:50.390,24.42,25.97,Mens 100M Freestyle,Heats
38,BAR,Jack KIRBY,24,0.72,ELIMINATED,1900-01-01 00:00:50.420,24.08,26.34,Mens 100M Freestyle,Heats
39,URU,Leo NOLLES,21,0.66,ELIMINATED,1900-01-01 00:00:50.580,23.92,26.66,Mens 100M Freestyle,Heats
40,IRI,Samyar ABDOLI,21,0.69,ELIMINATED,1900-01-01 00:00:50.630,23.75,26.88,Mens 100M Freestyle,Heats
41,THA,Dulyawat KAEWSRIYONG,21,0.65,ELIMINATED,1900-01-01 00:00:50.640,24.13,26.51,Mens 100M Freestyle,Heats
42,MGL,Enkhtamir BATBAYAR,19,0.69,ELIMINATED,1900-01-01 00:00:50.810,24.14,26.67,Mens 100M Freestyle,Heats
43,SEN,Matthieu Ousmane SEYE,22,0.63,ELIMINATED,1900-01-01 00:00:50.840,24.37,26.47,Mens 100M Freestyle,Heats
44,GHA,Harry Akpevwoghene Ofuma STACEY,24,0.60,ELIMINATED,1900-01-01 00:00:51.120,24.11,27.01,Mens 100M Freestyle,Heats
45,KSA,Zaid Faisal M ALSARRAJ,16,0.65,ELIMINATED,1900-01-01 00:00:51.210,24.61,26.60,Mens 100M Freestyle,Heats
46,SRI,Kyle ABEYSINGHE,24,0.64,ELIMINATED,1900-01-01 00:00:51.420,24.69,26.73,Mens 100M Freestyle,Heats
47,HKG,Ian Yentou HO,27,0.61,ELIMINATED,1900-01-01 00:00:51.460,23.75,27.71,Mens 100M Freestyle,Heats
