Place,Country,Name,Age,RT,Status,Time,50 Split,100 Split,Event,Round
1,CHN,Zhanle PAN,19,0.61,QUALIFIED,1900-01-01 00:00:47.210,22.69,24.52,Mens 100M Freestyle,Semifinals
2,AUS,Kyle CHALMERS,26,0.65,QUALIFIED,1900-01-01 00:00:47.580,22.91,24.67,Mens 100M Freestyle,Semifinals
3,HUN,Nandor NEMETH,24,0.63,QUALIFIED,1900-01-01 00:00:47.610,22.71,24.90,Mens 100M Freestyle,Semifinals
4,FRA,Maxime GROUSSET,25,0.60,QUALIFIED,1900-01-01 00:00:47.630,22.57,25.06,Mens 100M Freestyle,Semifinals
5,ROU,David POPOVICI,19,0.62,QUALIFIED,1900-01-01 00:00:47.660,23.02,24.64,Mens 100M Freestyle,Semifinals
6,USA,Jack ALEXY,21,0.72,QUALIFIED,1900-01-01 00:00:47.680,22.58,25.10,Mens 100M Freestyle,Semifinals
7,USA,Chris GUILIANO,21,0.60,QUALIFIED,1900-01-01 00:00:47.720,22.97,24.75,Mens 100M Freestyle,Semifinals
8,GER,Josha SALCHOW,25,0.71,QUALIFIED,1900-01-01 00:00:47.940,22.99,24.95,Mens 100M Freestyle,Semifinals
9,ITA,Alessandro MIRESSI,25,0.70,ELIMINATED,1900-01-01 00:00:47.950,22.85,25.10,Mens 100M Freestyle,Semifinals
10,BRA,Guilherme SANTOS,21,0.61,ELIMINATED,1900-01-01 00:00:48.030,22.94,25.09,Mens 100M Freestyle,Semifinals
11,CAN,Josh LIENDO,21,0.62,ELIMINATED,1900-01-01 00:00:48.060,22.91,25.15,Mens 100M Freestyle,Semifinals
12,GBR,Matthew RICHARDS,21,0.60,ELIMINATED,1900-01-01 00:00:48.090,22.87,25.22,Mens 100M Freestyle,Semifinals
13,CAY,Jordan CROOKS,22,0.63,ELIMINATED,1900-01-01 00:00:48.100,23.06,25.04,Mens 100M Freestyle,Semifinals
14,SRB,Andrej BARNA,26,0.62,ELIMINATED,1900-01-01 00:00:48.110,23.01,25.10,Mens 100M Freestyle,Semifinals
15,AUS,William YANG,25,0.68,ELIMINATED,1900-01-01 00:00:48.420,23.26,25.16,Mens 100M Freestyle,Semifinals
16,SRB,Velimir STJEPANOVIC,30,0.63,ELIMINATED,1900-01-01 00:00:48.780,23.52,25.26,Mens 100M Freestyle,Semifinals
