Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,250m,300m,350m,400m,450m,500m,550m,600m,650m,700m,750m,800m,850m,900m,950m,1000m,1050m,1100m,1150m,1200m,1250m,1300m,1350m,1400m,1450m,1500m,Event,Round
1,IRL,Daniel WIFFEN,23,0.76,QUALIFIED,1900-01-01 00:14:40.340,26.97,28.97,29.60,29.52,29.61,29.69,29.57,29.74,29.67,29.35,29.31,29.53,29.39,29.28,29.41,29.28,29.13,28.95,29.10,29.16,29.14,29.30,29.37,29.69,29.69,29.81,29.82,29.58,29.60,29.11,Mens 1500M Freestyle,Heats
2,ITA,Gregorio PALTRINIERI,29,0.76,QUALIFIED,1900-01-01 00:14:42.560,27.27,28.91,29.27,29.50,29.64,29.56,29.66,29.61,29.63,29.37,29.44,29.42,29.46,29.41,29.33,29.52,29.43,29.52,29.56,29.55,29.59,29.94,29.72,29.80,29.63,29.69,29.37,29.31,29.51,28.94,Mens 1500M Freestyle,Heats
3,TUN,Ahmed JAOUADI,19,0.78,QUALIFIED,1900-01-01 00:14:44.200,27.21,29.34,29.84,29.82,29.91,28.92,30.31,30.55,29.94,28.95,29.30,29.12,29.17,29.28,29.59,29.84,29.40,29.73,29.70,29.93,29.64,30.03,29.47,29.90,29.67,29.80,30.38,29.21,29.58,26.67,Mens 1500M Freestyle,Heats
4,FRA,David AUBRY,27,0.68,QUALIFIED,1900-01-01 00:14:44.900,28.01,29.63,29.61,29.97,30.00,29.78,29.86,29.82,29.84,29.61,29.69,29.56,29.98,29.55,29.88,29.78,29.73,29.65,29.62,29.62,29.63,29.48,29.57,29.33,29.30,29.36,29.27,29.31,28.88,27.58,Mens 1500M Freestyle,Heats
5,TUR,Kuzey TUNCELLI,16,0.72,QUALIFIED,1900-01-01 00:14:45.270,26.84,29.27,29.36,29.61,29.51,29.61,29.34,29.60,29.43,29.95,29.30,29.67,29.33,29.77,29.42,29.91,29.68,30.10,29.48,29.88,29.88,29.58,29.85,29.80,29.79,29.76,30.14,29.56,29.82,28.03,Mens 1500M Freestyle,Heats
6,USA,Bobby FINKE,24,0.73,QUALIFIED,1900-01-01 00:14:45.310,26.92,29.47,29.43,29.67,29.54,29.77,29.66,29.82,29.73,30.02,29.62,29.67,29.51,29.47,29.44,29.88,29.52,29.73,29.47,29.74,29.60,29.83,29.54,29.66,29.66,29.72,29.61,29.69,29.49,28.43,Mens 1500M Freestyle,Heats
7,FRA,Damien JOLY,32,0.68,QUALIFIED,1900-01-01 00:14:45.520,28.03,29.52,29.71,29.76,29.54,29.72,29.50,29.62,29.45,29.49,29.52,29.85,29.54,29.78,29.56,29.91,29.47,29.94,29.88,29.72,29.48,29.81,29.47,29.58,29.41,29.49,29.43,29.63,29.21,28.50,Mens 1500M Freestyle,Heats
8,HUN,David BETLEHEM,20,0.74,QUALIFIED,1900-01-01 00:14:45.590,27.51,29.69,29.66,29.69,29.75,29.81,29.74,29.83,29.83,29.79,29.77,29.84,29.72,29.78,29.57,29.81,29.69,29.60,29.56,29.68,29.65,29.67,29.61,29.59,29.54,29.56,29.58,29.70,29.57,26.80,Mens 1500M Freestyle,Heats
9,CHN,Liwei FEI,21,0.69,ELIMINATED,1900-01-01 00:14:50.060,27.58,29.63,29.55,29.91,29.41,29.90,29.76,30.02,29.66,29.97,29.55,30.02,29.72,29.88,29.76,30.09,29.57,29.96,29.94,29.82,29.85,29.96,30.05,29.99,29.74,30.07,29.77,29.89,29.12,27.92,Mens 1500M Freestyle,Heats
10,GER,Sven SCHWARZ,22,0.74,ELIMINATED,1900-01-01 00:14:51.970,27.48,29.24,29.81,29.49,29.97,29.51,29.98,29.95,30.02,29.87,29.65,29.66,29.86,29.65,29.74,29.96,29.93,30.01,30.07,29.95,30.15,30.06,29.92,30.04,29.90,30.13,30.03,29.81,30.05,28.08,Mens 1500M Freestyle,Heats
11,HUN,Zalan SARKANY,20,0.66,ELIMINATED,1900-01-01 00:14:52.420,27.61,29.45,29.84,29.74,30.02,29.76,29.82,30.05,30.00,29.91,29.83,29.83,30.09,29.88,29.77,29.78,29.92,29.87,29.76,29.84,29.72,29.88,29.76,29.86,30.07,29.83,29.92,29.89,29.86,28.86,Mens 1500M Freestyle,Heats
12,ITA,Luca DE TULLIO,20,0.67,ELIMINATED,1900-01-01 00:14:55.610,27.97,29.79,29.97,30.06,30.33,30.12,30.03,30.00,30.08,30.06,30.07,30.09,29.90,29.93,30.12,29.84,30.14,29.76,29.99,29.81,29.89,29.95,30.26,30.12,29.90,29.95,29.87,29.74,29.88,27.99,Mens 1500M Freestyle,Heats
13,AUS,Samuel SHORT,20,0.63,ELIMINATED,1900-01-01 00:14:58.150,27.29,29.21,29.36,29.71,29.57,29.64,29.56,29.63,29.62,29.58,29.51,29.47,29.51,29.28,29.52,29.70,30.02,29.70,29.84,30.07,30.58,30.29,30.67,30.73,31.01,31.06,31.27,31.23,31.56,29.96,Mens 1500M Freestyle,Heats
14,GER,Florian WELLBROCK,26,0.66,ELIMINATED,1900-01-01 00:15:01.880,27.51,29.23,29.62,29.52,29.74,29.70,29.79,29.92,29.82,29.93,30.02,30.12,30.19,30.40,30.51,30.42,30.71,30.47,30.52,30.25,30.61,30.36,30.26,30.51,30.49,30.46,30.45,30.37,30.19,29.79,Mens 1500M Freestyle,Heats
15,GBR,Daniel JERVIS,28,0.67,ELIMINATED,1900-01-01 00:15:03.750,27.20,29.46,29.94,30.12,30.30,30.01,30.13,30.20,30.25,30.37,30.11,30.21,30.41,30.20,30.23,30.32,30.35,30.45,30.36,30.45,30.23,30.48,30.48,30.46,30.47,30.51,30.30,30.49,30.16,29.10,Mens 1500M Freestyle,Heats
16,POL,Krzysztof CHMIELEWSKI,20,0.63,ELIMINATED,1900-01-01 00:15:04.990,27.05,29.02,29.65,29.58,29.82,29.81,29.86,29.80,29.98,30.00,30.18,30.09,30.38,30.33,30.72,30.43,30.78,30.64,30.84,30.38,30.74,30.53,30.62,30.54,30.87,30.60,30.77,30.72,30.91,29.35,Mens 1500M Freestyle,Heats
17,SWE,Victor JOHANSSON,25,0.68,ELIMINATED,1900-01-01 00:15:05.620,28.16,30.03,29.99,30.24,30.31,30.34,30.45,30.82,30.73,30.49,30.25,30.30,30.43,30.41,30.30,30.26,30.26,30.23,30.33,30.37,30.50,30.51,30.22,30.47,30.23,30.49,30.10,30.10,29.73,28.57,Mens 1500M Freestyle,Heats
18,USA,David JOHNSTON,22,0.76,ELIMINATED,1900-01-01 00:15:10.640,27.37,29.55,29.73,29.91,29.99,29.77,30.05,29.94,30.18,29.86,30.01,30.03,30.45,30.17,30.58,30.55,30.84,30.74,30.90,30.68,30.80,30.86,31.22,31.00,31.27,30.95,31.38,30.91,31.24,29.71,Mens 1500M Freestyle,Heats
19,GRE,Dimitrios MARKOS,22,0.72,ELIMINATED,1900-01-01 00:15:11.190,27.19,29.68,30.29,29.98,30.15,30.15,30.21,30.21,30.22,29.93,30.17,30.36,30.38,30.21,30.25,30.28,30.48,30.57,30.67,30.44,30.83,30.97,30.77,31.15,31.44,31.41,31.04,31.48,30.96,29.32,Mens 1500M Freestyle,Heats
