Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,SUI,Roman MITYUKOV,24,0.51,QUALIFIED,1900-01-01 00:01:56.620,27.34,29.42,30.37,29.49,Mens 200M Backstroke,Heats
2,GER,Lukas MARTENS,22,0.61,QUALIFIED,1900-01-01 00:01:56.890,27.27,30.06,30.13,29.43,Mens 200M Backstroke,Heats
3,RSA,Pieter COETZE,20,0.68,QUALIFIED,1900-01-01 00:01:56.920,27.13,29.86,30.02,29.91,Mens 200M Backstroke,Heats
4,HUN,Hubert KOS,21,0.55,QUALIFIED,1900-01-01 00:01:57.010,28.21,30.74,29.68,28.38,Mens 200M Backstroke,Heats
5,USA,Ryan MURPHY,29,0.53,QUALIFIED,1900-01-01 00:01:57.030,27.33,29.68,30.36,29.66,Mens 200M Backstroke,Heats
6,ESP,Hugo GONZALEZ,25,0.62,QUALIFIED,1900-01-01 00:01:57.080,27.93,29.52,30.17,29.46,Mens 200M Backstroke,Heats
7,GRE,Apostolos CHRISTOU,27,0.60,QUALIFIED,1900-01-01 00:01:57.180,27.34,29.88,30.28,29.68,Mens 200M Backstroke,Heats
8,JPN,Hidekazu TAKEHARA,20,0.56,QUALIFIED,1900-01-01 00:01:57.230,27.47,29.70,30.06,30.00,Mens 200M Backstroke,Heats
9,GRE,Apostolos SISKOS,19,0.62,QUALIFIED,1900-01-01 00:01:57.260,27.83,30.21,29.98,29.24,Mens 200M Backstroke,Heats
10,KOR,Juho LEE,29,0.58,QUALIFIED,1900-01-01 00:01:57.390,26.96,29.88,30.14,30.41,Mens 200M Backstroke,Heats
11,USA,Jackson JONES,19,0.64,QUALIFIED,1900-01-01 00:01:57.540,27.87,30.10,30.50,29.07,Mens 200M Backstroke,Heats
12,GBR,Oliver MORGAN,21,0.60,QUALIFIED,1900-01-01 00:01:57.560,27.22,29.57,30.49,30.28,Mens 200M Backstroke,Heats
13,FRA,Mewen TOMAC,22,0.60,QUALIFIED,1900-01-01 00:01:57.620,27.37,29.94,30.32,29.99,Mens 200M Backstroke,Heats
14,ITA,Thomas CECCON,23,0.64,QUALIFIED,1900-01-01 00:01:57.690,27.56,29.94,30.12,30.07,Mens 200M Backstroke,Heats
15,FRA,Yohann NDOYE-BROUARD,23,0.54,QUALIFIED,1900-01-01 00:01:57.920,27.48,30.57,30.37,29.50,Mens 200M Backstroke,Heats
16,HUN,Adam TELEGDY,28,0.70,QUALIFIED,1900-01-01 00:01:57.980,27.75,30.03,30.75,29.45,Mens 200M Backstroke,Heats
17,POL,Ksawery MASIUK,19,0.64,ELIMINATED,1900-01-01 00:01:58.010,27.09,30.24,30.65,30.03,Mens 200M Backstroke,Heats
18,AUS,Se-Bom LEE,23,0.57,ELIMINATED,1900-01-01 00:01:58.300,28.22,30.00,29.99,30.09,Mens 200M Backstroke,Heats
19,CAN,Blake TIERNEY,22,0.55,ELIMINATED,1900-01-01 00:01:58.390,27.68,30.09,30.79,29.83,Mens 200M Backstroke,Heats
20,UKR,Oleksandr ZHELTIAKOV,18,0.58,ELIMINATED,1900-01-01 00:01:58.410,27.98,30.19,30.44,29.80,Mens 200M Backstroke,Heats
21,NZL,Kane FOLLOWS,27,0.63,ELIMINATED,1900-01-01 00:01:58.630,27.58,30.09,30.29,30.67,Mens 200M Backstroke,Heats
22,ISR,David GERCHIK,23,0.64,ELIMINATED,1900-01-01 00:01:58.790,28.45,29.81,30.38,30.15,Mens 200M Backstroke,Heats
23,NED,Kai VAN WESTERING,20,0.65,ELIMINATED,1900-01-01 00:01:58.990,27.48,29.63,30.78,31.10,Mens 200M Backstroke,Heats
24,ITA,Matteo RESTIVO,29,0.59,ELIMINATED,1900-01-01 00:01:59.050,27.22,29.19,30.57,32.07,Mens 200M Backstroke,Heats
25,AUS,Bradley WOODWARD,26,0.66,ELIMINATED,1900-01-01 00:02:00.500,27.67,30.35,30.97,31.51,Mens 200M Backstroke,Heats
26,PUR,Yeziel MORALES,28,0.53,ELIMINATED,1900-01-01 00:02:00.600,28.13,29.90,31.12,31.45,Mens 200M Backstroke,Heats
27,SUD,Ziyad SALEEM,21,0.62,ELIMINATED,1900-01-01 00:02:01.440,28.07,30.23,31.00,32.14,Mens 200M Backstroke,Heats
28,ZIM,Denilson CYPRIANOS,21,0.60,ELIMINATED,1900-01-01 00:02:01.910,28.49,30.81,31.05,31.56,Mens 200M Backstroke,Heats
