Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,HUN,Hubert KOS,21,0.54,QUALIFIED,1900-01-01 00:01:55.960,26.89,28.99,30.08,30.00,Mens 200M Backstroke,Semifinals
2,SUI,Roman MITYUKOV,24,0.52,QUALIFIED,1900-01-01 00:01:56.050,27.21,29.53,29.85,29.46,Mens 200M Backstroke,Semifinals
3,RSA,Pieter COETZE,20,0.65,QUALIFIED,1900-01-01 00:01:56.090,26.86,29.76,29.92,29.55,Mens 200M Backstroke,Semifinals
4,GER,Lukas MARTENS,22,0.61,QUALIFIED,1900-01-01 00:01:56.330,27.16,29.39,30.10,29.68,Mens 200M Backstroke,Semifinals
5,GRE,Apostolos CHRISTOU,27,0.59,QUALIFIED,1900-01-01 00:01:56.330,26.89,29.60,30.34,29.50,Mens 200M Backstroke,Semifinals
6,USA,Jackson JONES,19,0.64,QUALIFIED,1900-01-01 00:01:56.390,27.35,29.49,30.22,29.33,Mens 200M Backstroke,Semifinals
7,FRA,Mewen TOMAC,22,0.60,QUALIFIED,1900-01-01 00:01:56.430,26.88,29.49,30.09,29.97,Mens 200M Backstroke,Semifinals
8,ESP,Hugo GONZALEZ,25,0.61,QUALIFIED,1900-01-01 00:01:56.520,27.39,29.54,30.20,29.39,Mens 200M Backstroke,Semifinals
9,ITA,Thomas CECCON,23,0.64,ELIMINATED,1900-01-01 00:01:56.590,27.18,29.91,29.80,29.70,Mens 200M Backstroke,Semifinals
10,USA,Ryan MURPHY,29,0.53,ELIMINATED,1900-01-01 00:01:56.620,27.16,29.58,30.11,29.77,Mens 200M Backstroke,Semifinals
11,KOR,Juho LEE,29,0.58,ELIMINATED,1900-01-01 00:01:56.760,27.33,29.73,29.87,29.83,Mens 200M Backstroke,Semifinals
12,GBR,Oliver MORGAN,21,0.58,ELIMINATED,1900-01-01 00:01:57.280,27.08,29.92,31.05,29.23,Mens 200M Backstroke,Semifinals
13,HUN,Adam TELEGDY,28,0.67,ELIMINATED,1900-01-01 00:01:57.580,27.40,29.79,30.80,29.59,Mens 200M Backstroke,Semifinals
14,GRE,Apostolos SISKOS,19,0.56,ELIMINATED,1900-01-01 00:01:57.770,27.34,30.08,30.49,29.86,Mens 200M Backstroke,Semifinals
15,JPN,Hidekazu TAKEHARA,20,0.56,ELIMINATED,1900-01-01 00:01:58.030,27.37,29.72,30.55,30.39,Mens 200M Backstroke,Semifinals
16,FRA,Yohann NDOYE-BROUARD,23,0.54,ELIMINATED,1900-01-01 00:01:58.650,27.04,30.45,31.25,29.91,Mens 200M Backstroke,Semifinals
