Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,KOR,Sung Jae CHO,23,0.69,QUALIFIED,1900-01-01 00:02:09.450,29.71,32.65,33.48,33.61,Mens 200M Breaststroke,Heats
2,AUS,Zac STUBBLETY-COOK,25,0.68,QUALIFIED,1900-01-01 00:02:09.490,29.95,33.67,33.61,32.26,Mens 200M Breaststroke,Heats
3,FRA,Leon MARCHAND,22,0.63,QUALIFIED,1900-01-01 00:02:09.550,28.33,32.64,33.81,34.77,Mens 200M Breaststroke,Heats
4,NED,Caspar CORBEAU,23,0.68,QUALIFIED,1900-01-01 00:02:09.780,29.24,32.99,33.53,34.02,Mens 200M Breaststroke,Heats
5,JPN,Ippei WATANABE,27,0.70,QUALIFIED,1900-01-01 00:02:09.860,29.29,32.98,33.30,34.29,Mens 200M Breaststroke,Heats
6,CHN,Zhihao DONG,19,0.65,QUALIFIED,1900-01-01 00:02:09.910,29.29,33.43,34.13,33.06,Mens 200M Breaststroke,Heats
7,JPN,Yu HANAGURUMA,24,0.64,QUALIFIED,1900-01-01 00:02:10.350,29.63,33.09,33.82,33.81,Mens 200M Breaststroke,Heats
8,SWE,Erik PERSSON,30,0.68,QUALIFIED,1900-01-01 00:02:10.350,29.74,32.81,33.54,34.26,Mens 200M Breaststroke,Heats
9,ISL,Anton MCKEE,30,0.65,QUALIFIED,1900-01-01 00:02:10.360,29.49,33.17,33.07,34.63,Mens 200M Breaststroke,Heats
10,USA,Josh MATHENY,21,0.66,QUALIFIED,1900-01-01 00:02:10.390,29.57,33.19,33.55,34.08,Mens 200M Breaststroke,Heats
11,USA,Matt FALLON,21,0.71,QUALIFIED,1900-01-01 00:02:10.490,30.30,33.07,33.19,33.93,Mens 200M Breaststroke,Heats
12,NED,Arno KAMMINGA,28,0.69,QUALIFIED,1900-01-01 00:02:10.530,29.42,33.03,33.79,34.29,Mens 200M Breaststroke,Heats
13,BUL,Lyubomir EPITROPOV,25,0.68,QUALIFIED,1900-01-01 00:02:10.590,30.05,33.55,33.53,33.46,Mens 200M Breaststroke,Heats
14,AUS,Joshua YONG,23,0.72,QUALIFIED,1900-01-01 00:02:10.680,30.22,33.64,33.57,33.25,Mens 200M Breaststroke,Heats
15,CHN,Haiyang QIN,25,0.63,QUALIFIED,1900-01-01 00:02:10.980,28.96,33.17,34.00,34.85,Mens 200M Breaststroke,Heats
16,KGZ,Denis PETRASHOV,24,0.77,QUALIFIED,1900-01-01 00:02:10.990,30.00,33.23,34.13,33.63,Mens 200M Breaststroke,Heats
17,MEX,Miguel Alejandro DE LARA OJEDA,29,0.69,ELIMINATED,1900-01-01 00:02:11.160,29.37,32.98,34.46,34.35,Mens 200M Breaststroke,Heats
18,FIN,Matti MATTSSON,30,0.69,ELIMINATED,1900-01-01 00:02:11.180,29.49,32.49,34.34,34.86,Mens 200M Breaststroke,Heats
19,LTU,Aleksas SAVICKAS,21,0.65,ELIMINATED,1900-01-01 00:02:11.530,29.39,32.73,34.18,35.23,Mens 200M Breaststroke,Heats
20,POL,Jan KALUSOWSKI,24,0.70,ELIMINATED,1900-01-01 00:02:11.870,29.71,33.00,34.21,34.95,Mens 200M Breaststroke,Heats
21,LAT,Daniils BOBROVS,26,0.72,ELIMINATED,1900-01-01 00:02:13.660,30.49,33.97,34.70,34.50,Mens 200M Breaststroke,Heats
22,PAN,Bernhard Tyler CHRISTIANSON,22,0.58,ELIMINATED,1900-01-01 00:02:15.620,29.50,33.79,35.24,37.09,Mens 200M Breaststroke,Heats
23,JOR,Amro AL-WIR,23,0.68,ELIMINATED,1900-01-01 00:02:15.780,30.61,34.46,34.91,35.80,Mens 200M Breaststroke,Heats
24,HON,Julio HORREGO,25,0.73,ELIMINATED,1900-01-01 00:02:18.910,30.36,34.45,35.84,38.26,Mens 200M Breaststroke,Heats
25,BRN,Saud GHALI,19,0.68,ELIMINATED,1900-01-01 00:02:22.510,31.38,36.05,36.71,38.37,Mens 200M Breaststroke,Heats
