Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,HUN,Kristof MILAK,24,0.66,QUALIFIED,1900-01-01 00:01:53.920,24.61,28.84,29.82,30.65,Mens 200M Butterfly,Heats
2,CAN,Ilya KHARUN,19,0.65,QUALIFIED,1900-01-01 00:01:54.060,25.19,29.03,29.92,29.92,Mens 200M Butterfly,Heats
3,SUI,Noe PONTI,23,0.66,QUALIFIED,1900-01-01 00:01:54.770,25.04,28.96,30.60,30.17,Mens 200M Butterfly,Heats
4,ITA,Alberto RAZZETTI,25,0.64,QUALIFIED,1900-01-01 00:01:54.780,25.41,28.92,29.86,30.59,Mens 200M Butterfly,Heats
5,AUT,Martin ESPERNBERGER,20,0.70,QUALIFIED,1900-01-01 00:01:55.190,25.74,29.30,29.61,30.54,Mens 200M Butterfly,Heats
6,FRA,Leon MARCHAND,22,0.66,QUALIFIED,1900-01-01 00:01:55.260,25.23,29.25,30.01,30.77,Mens 200M Butterfly,Heats
7,POL,Michal CHMIELEWSKI,20,0.64,QUALIFIED,1900-01-01 00:01:55.280,26.14,29.43,29.52,30.19,Mens 200M Butterfly,Heats
8,TPE,Kuan-Hung WANG,22,0.62,QUALIFIED,1900-01-01 00:01:55.320,25.45,29.45,29.80,30.62,Mens 200M Butterfly,Heats
9,POL,Krzysztof CHMIELEWSKI,20,0.63,QUALIFIED,1900-01-01 00:01:55.420,25.63,29.28,29.79,30.72,Mens 200M Butterfly,Heats
10,EST,Kregor ZIRK,25,0.64,QUALIFIED,1900-01-01 00:01:55.520,25.85,28.99,29.92,30.76,Mens 200M Butterfly,Heats
11,USA,Thomas HEILMAN,17,0.69,QUALIFIED,1900-01-01 00:01:55.740,25.41,29.01,30.23,31.09,Mens 200M Butterfly,Heats
12,ITA,Giacomo CARINI,27,0.62,QUALIFIED,1900-01-01 00:01:55.810,25.67,28.91,30.27,30.96,Mens 200M Butterfly,Heats
13,JPN,Genki TERAKADO,21,0.63,QUALIFIED,1900-01-01 00:01:55.820,25.48,29.01,30.14,31.19,Mens 200M Butterfly,Heats
14,ESP,Arbidel GONZALEZ,21,0.67,QUALIFIED,1900-01-01 00:01:55.860,26.48,29.28,29.71,30.39,Mens 200M Butterfly,Heats
15,KOR,Minseop KIM,20,0.60,QUALIFIED,1900-01-01 00:01:56.020,25.41,29.16,29.97,31.48,Mens 200M Butterfly,Heats
16,HUN,Richard MARTON,24,0.61,QUALIFIED,1900-01-01 00:01:56.030,25.35,29.37,30.36,30.95,Mens 200M Butterfly,Heats
17,USA,Luca URLANDO,22,0.67,ELIMINATED,1900-01-01 00:01:56.180,25.59,28.34,29.84,32.41,Mens 200M Butterfly,Heats
18,BRA,Nicolas ALBIERO,25,0.65,ELIMINATED,1900-01-01 00:01:56.490,25.63,28.88,30.05,31.93,Mens 200M Butterfly,Heats
19,BUL,Petar Petrov MITSIN,18,0.64,ELIMINATED,1900-01-01 00:01:57.030,26.08,29.58,30.14,31.23,Mens 200M Butterfly,Heats
20,RSA,Matthew SATES,21,0.65,ELIMINATED,1900-01-01 00:01:57.040,25.87,29.33,30.17,31.67,Mens 200M Butterfly,Heats
21,NZL,Lewis CLAREBURT,25,0.70,ELIMINATED,1900-01-01 00:01:57.120,26.31,29.54,30.66,30.61,Mens 200M Butterfly,Heats
22,JPN,Tomoru HONDA,22,0.65,ELIMINATED,1900-01-01 00:01:57.300,25.77,29.75,30.59,31.19,Mens 200M Butterfly,Heats
23,AUS,Matthew TEMPLE,25,0.66,ELIMINATED,1900-01-01 00:01:57.390,25.84,30.12,30.80,30.63,Mens 200M Butterfly,Heats
24,UKR,Denys KESIL,23,0.67,ELIMINATED,1900-01-01 00:01:57.720,25.91,29.74,30.54,31.53,Mens 200M Butterfly,Heats
25,AZE,Ramil VALIZADE,20,0.70,ELIMINATED,1900-01-01 00:01:59.770,26.61,30.37,30.81,31.98,Mens 200M Butterfly,Heats
26,EOR,Matin BALSINI,23,0.68,ELIMINATED,1900-01-01 00:02:00.730,26.13,30.04,30.98,33.58,Mens 200M Butterfly,Heats
27,NCA,Gerald HERNANDEZ,19,0.76,ELIMINATED,1900-01-01 00:02:06.800,27.00,30.43,33.09,36.28,Mens 200M Butterfly,Heats
