Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,ROU,David POPOVICI,19,0.67,QUALIFIED,1900-01-01 00:01:45.650,24.17,26.98,27.25,27.25,Mens 200M Freestyle,Heats
2,LTU,Danas RAPSYS,29,0.67,QUALIFIED,1900-01-01 00:01:45.910,24.59,26.82,27.69,26.81,Mens 200M Freestyle,Heats
3,BEL,Lucas Pierre A HENVEAUX,23,0.66,QUALIFIED,1900-01-01 00:01:46.040,25.16,26.90,27.43,26.55,Mens 200M Freestyle,Heats
4,KOR,Sunwoo HWANG,21,0.63,QUALIFIED,1900-01-01 00:01:46.130,24.46,27.15,27.43,27.09,Mens 200M Freestyle,Heats
5,AUS,Maximillian GIULIANI,21,0.67,QUALIFIED,1900-01-01 00:01:46.150,24.91,27.18,27.07,26.99,Mens 200M Freestyle,Heats
6,GBR,Matthew RICHARDS,21,0.61,QUALIFIED,1900-01-01 00:01:46.190,24.83,27.12,27.44,26.80,Mens 200M Freestyle,Heats
7,USA,Luke HOBSON,21,0.78,QUALIFIED,1900-01-01 00:01:46.230,24.89,27.09,27.11,27.14,Mens 200M Freestyle,Heats
8,JPN,Katsuhiro MATSUMOTO,27,0.69,QUALIFIED,1900-01-01 00:01:46.230,24.76,26.86,27.82,26.79,Mens 200M Freestyle,Heats
9,AUS,Thomas NEILL,22,0.70,QUALIFIED,1900-01-01 00:01:46.270,25.25,27.11,27.31,26.60,Mens 200M Freestyle,Heats
10,GER,Lukas MARTENS,22,0.71,QUALIFIED,1900-01-01 00:01:46.330,24.40,26.79,27.75,27.39,Mens 200M Freestyle,Heats
11,GBR,Duncan SCOTT,27,0.65,QUALIFIED,1900-01-01 00:01:46.340,24.78,26.93,27.48,27.15,Mens 200M Freestyle,Heats
12,KOR,Woomin KIM,22,0.60,QUALIFIED,1900-01-01 00:01:46.640,24.82,26.88,27.63,27.31,Mens 200M Freestyle,Heats
13,GER,Rafael MIROSLAW,23,0.65,QUALIFIED,1900-01-01 00:01:46.810,24.71,26.94,27.35,27.81,Mens 200M Freestyle,Heats
14,ISR,Denis LOKTEV,24,0.63,QUALIFIED,1900-01-01 00:01:47.010,24.96,27.14,27.19,27.72,Mens 200M Freestyle,Heats
15,ITA,Alessandro RAGAINI,17,0.70,QUALIFIED,1900-01-01 00:01:47.310,25.33,26.73,27.62,27.63,Mens 200M Freestyle,Heats
16,ITA,Filippo MEGLI,27,0.64,QUALIFIED,1900-01-01 00:01:47.390,24.71,27.20,27.85,27.63,Mens 200M Freestyle,Heats
17,SUI,Antonio DJAKOVIC,21,0.67,ELIMINATED,1900-01-01 00:01:47.460,24.28,27.23,28.10,27.85,Mens 200M Freestyle,Heats
18,SRB,Velimir STJEPANOVIC,30,0.65,ELIMINATED,1900-01-01 00:01:47.560,24.81,27.23,27.85,27.67,Mens 200M Freestyle,Heats
19,USA,Chris GUILIANO,21,0.62,ELIMINATED,1900-01-01 00:01:47.600,24.48,27.57,27.90,27.65,Mens 200M Freestyle,Heats
20,MEX,Jorge IGA,27,0.65,ELIMINATED,1900-01-01 00:01:48.380,24.92,27.02,27.43,29.01,Mens 200M Freestyle,Heats
21,SLO,Saso BOSKAN,21,0.63,ELIMINATED,1900-01-01 00:01:48.750,25.06,27.37,27.95,28.37,Mens 200M Freestyle,Heats
22,CHN,Zhanle PAN,19,0.65,ELIMINATED,1900-01-01 00:01:49.470,25.12,27.57,27.90,28.88,Mens 200M Freestyle,Heats
23,CHN,Xinjie JI,26,0.71,ELIMINATED,1900-01-01 00:01:49.880,25.18,27.44,28.43,28.83,Mens 200M Freestyle,Heats
24,SYR,Omar ABBASS,25,0.67,ELIMINATED,1900-01-01 00:01:53.010,26.37,28.16,29.22,29.26,Mens 200M Freestyle,Heats
25,PAK,Muhammad Ahmed DURRANI,18,0.68,ELIMINATED,1900-01-01 00:01:58.670,26.62,29.21,31.06,31.78,Mens 200M Freestyle,Heats
