Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,ROU,David POPOVICI,19,0.67,QUALIFIED,1900-01-01 00:01:44.530,24.12,26.76,26.75,26.90,Mens 200M Freestyle,Heats
2,GBR,Duncan SCOTT,27,0.65,QUALIFIED,1900-01-01 00:01:44.940,24.77,26.49,27.01,26.67,Mens 200M Freestyle,Heats
3,USA,Luke HOBSON,21,0.76,QUALIFIED,1900-01-01 00:01:45.190,24.78,26.66,27.23,26.52,Mens 200M Freestyle,Heats
4,GER,Lukas MARTENS,22,0.69,QUALIFIED,1900-01-01 00:01:45.360,24.42,26.73,27.35,26.86,Mens 200M Freestyle,Heats
5,AUS,Maximillian GIULIANI,21,0.65,QUALIFIED,1900-01-01 00:01:45.370,24.69,26.82,26.85,27.01,Mens 200M Freestyle,Heats
6,LTU,Danas RAPSYS,29,0.67,QUALIFIED,1900-01-01 00:01:45.480,24.50,26.78,27.05,27.15,Mens 200M Freestyle,Heats
7,GBR,Matthew RICHARDS,21,0.61,QUALIFIED,1900-01-01 00:01:45.630,24.20,26.90,27.40,27.13,Mens 200M Freestyle,Heats
8,JPN,Katsuhiro MATSUMOTO,27,0.68,QUALIFIED,1900-01-01 00:01:45.880,24.61,26.69,27.53,27.05,Mens 200M Freestyle,Heats
9,KOR,Sunwoo HWANG,21,0.59,QUALIFIED,1900-01-01 00:01:45.920,24.10,26.85,27.67,27.30,Mens 200M Freestyle,Heats
10,AUS,Thomas NEILL,22,0.70,QUALIFIED,1900-01-01 00:01:46.180,25.05,26.84,27.39,26.90,Mens 200M Freestyle,Heats
11,BEL,Lucas Pierre A HENVEAUX,23,0.65,ELIMINATED,1900-01-01 00:01:46.200,24.75,26.89,27.25,27.31,Mens 200M Freestyle,Heats
12,KOR,Woomin KIM,22,0.60,ELIMINATED,1900-01-01 00:01:46.580,24.68,26.75,27.62,27.53,Mens 200M Freestyle,Heats
13,ITA,Filippo MEGLI,27,0.65,ELIMINATED,1900-01-01 00:01:46.870,24.68,26.89,27.66,27.64,Mens 200M Freestyle,Heats
14,ITA,Alessandro RAGAINI,17,0.68,ELIMINATED,1900-01-01 00:01:47.080,25.33,26.84,27.64,27.27,Mens 200M Freestyle,Heats
15,GER,Rafael MIROSLAW,23,0.66,ELIMINATED,1900-01-01 00:01:47.340,24.60,27.01,27.84,27.89,Mens 200M Freestyle,Heats
16,ISR,Denis LOKTEV,24,0.64,ELIMINATED,1900-01-01 00:01:47.930,24.72,26.94,27.93,28.34,Mens 200M Freestyle,Heats
