Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,JPN,Daiya SETO,30,0.61,QUALIFIED,1900-01-01 00:01:57.480,24.83,29.81,33.99,28.85,Mens 200M Individual Medley,Heats
2,GBR,Duncan SCOTT,27,0.66,QUALIFIED,1900-01-01 00:01:57.770,24.97,30.11,34.30,28.39,Mens 200M Individual Medley,Heats
3,FRA,Leon MARCHAND,22,0.64,QUALIFIED,1900-01-01 00:01:57.860,25.40,29.77,33.72,28.97,Mens 200M Individual Medley,Heats
4,ITA,Alberto RAZZETTI,25,0.63,QUALIFIED,1900-01-01 00:01:58.000,25.41,30.63,33.61,28.35,Mens 200M Individual Medley,Heats
5,USA,Shaine CASAS,24,0.66,QUALIFIED,1900-01-01 00:01:58.040,24.95,30.06,34.31,28.72,Mens 200M Individual Medley,Heats
6,CHN,Shun WANG,30,0.65,QUALIFIED,1900-01-01 00:01:58.090,24.98,29.86,34.21,29.04,Mens 200M Individual Medley,Heats
7,GBR,Tom DEAN,24,0.68,QUALIFIED,1900-01-01 00:01:58.300,25.53,30.26,34.29,28.22,Mens 200M Individual Medley,Heats
8,ISR,Ron POLONSKY,23,0.72,QUALIFIED,1900-01-01 00:01:58.300,26.02,28.98,34.08,29.22,Mens 200M Individual Medley,Heats
9,SUI,Jeremy DESPLANCHES,29,0.63,QUALIFIED,1900-01-01 00:01:58.460,24.99,30.14,33.65,29.68,Mens 200M Individual Medley,Heats
10,USA,Carson FOSTER,22,0.66,QUALIFIED,1900-01-01 00:01:58.630,25.20,29.66,34.31,29.46,Mens 200M Individual Medley,Heats
11,NZL,Lewis CLAREBURT,25,0.70,QUALIFIED,1900-01-01 00:01:58.840,25.51,30.30,34.70,28.33,Mens 200M Individual Medley,Heats
12,AUS,William Campbell PETRIC,19,0.65,QUALIFIED,1900-01-01 00:01:58.840,25.64,30.88,33.55,28.77,Mens 200M Individual Medley,Heats
13,CAN,Finlay KNOX,23,0.68,QUALIFIED,1900-01-01 00:01:58.970,24.98,30.57,34.84,28.58,Mens 200M Individual Medley,Heats
14,AUS,Thomas NEILL,22,0.71,QUALIFIED,1900-01-01 00:01:59.130,25.91,30.28,35.04,27.90,Mens 200M Individual Medley,Heats
15,ALG,Jaouad SYOUD,24,0.70,QUALIFIED,1900-01-01 00:01:59.410,25.72,30.51,34.23,28.95,Mens 200M Individual Medley,Heats
16,GRE,Apostolos PAPASTAMOS,23,0.68,QUALIFIED,1900-01-01 00:02:00.790,26.10,30.47,35.40,28.82,Mens 200M Individual Medley,Heats
17,TUR,Berke SAKA,21,0.67,ELIMINATED,1900-01-01 00:02:01.990,25.64,30.29,35.67,30.39,Mens 200M Individual Medley,Heats
18,GUA,Erick GORDILLO,24,0.62,ELIMINATED,1900-01-01 00:02:02.240,25.92,31.25,36.47,28.60,Mens 200M Individual Medley,Heats
19,ECU,Tomas PERIBONIO AVILA,28,0.63,ELIMINATED,1900-01-01 00:02:03.400,25.67,31.31,35.28,31.14,Mens 200M Individual Medley,Heats
20,PAR,Matheo MATEOS,23,0.70,ELIMINATED,1900-01-01 00:02:03.450,26.19,31.42,36.00,29.84,Mens 200M Individual Medley,Heats
21,RSA,Matthew SATES,21,0.66,ELIMINATED,1900-01-01 00:02:04.010,25.91,32.03,36.64,29.43,Mens 200M Individual Medley,Heats
22,SEY,Simon BACHMANN,25,0.70,ELIMINATED,1900-01-01 00:02:06.480,26.63,32.51,36.91,30.43,Mens 200M Individual Medley,Heats
23,BOL,Esteban NUNEZ DEL PRADO,20,0.60,ELIMINATED,1900-01-01 00:02:08.100,26.35,32.06,37.44,32.25,Mens 200M Individual Medley,Heats
