Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,FRA,Leon MARCHAND,22,0.65,QUALIFIED,1900-01-01 00:01:56.310,24.79,29.20,33.21,29.11,Mens 200M Individual Medley,Semifinals
2,USA,Carson FOSTER,22,0.64,QUALIFIED,1900-01-01 00:01:56.370,24.92,29.09,34.14,28.22,Mens 200M Individual Medley,Semifinals
3,GBR,Duncan SCOTT,27,0.65,QUALIFIED,1900-01-01 00:01:56.490,25.02,29.80,33.85,27.82,Mens 200M Individual Medley,Semifinals
4,CHN,Shun WANG,30,0.64,QUALIFIED,1900-01-01 00:01:56.540,24.70,29.54,33.99,28.31,Mens 200M Individual Medley,Semifinals
5,JPN,Daiya SETO,30,0.61,QUALIFIED,1900-01-01 00:01:56.590,24.90,29.90,33.27,28.52,Mens 200M Individual Medley,Semifinals
6,GBR,Tom DEAN,24,0.67,QUALIFIED,1900-01-01 00:01:56.920,25.27,30.03,33.83,27.79,Mens 200M Individual Medley,Semifinals
7,ITA,Alberto RAZZETTI,25,0.64,QUALIFIED,1900-01-01 00:01:57.100,24.95,30.57,33.45,28.13,Mens 200M Individual Medley,Semifinals
8,CAN,Finlay KNOX,23,0.69,QUALIFIED,1900-01-01 00:01:57.760,24.78,29.77,34.63,28.58,Mens 200M Individual Medley,Semifinals
9,USA,Shaine CASAS,24,0.64,ELIMINATED,1900-01-01 00:01:57.820,24.43,30.32,34.08,28.99,Mens 200M Individual Medley,Semifinals
10,AUS,William Campbell PETRIC,19,0.65,ELIMINATED,1900-01-01 00:01:58.130,25.60,30.53,33.59,28.41,Mens 200M Individual Medley,Semifinals
11,AUS,Thomas NEILL,22,0.70,ELIMINATED,1900-01-01 00:01:58.770,25.48,29.92,35.11,28.26,Mens 200M Individual Medley,Semifinals
12,ISR,Ron POLONSKY,23,0.72,ELIMINATED,1900-01-01 00:01:58.890,25.86,29.49,33.80,29.74,Mens 200M Individual Medley,Semifinals
13,SUI,Jeremy DESPLANCHES,29,0.63,ELIMINATED,1900-01-01 00:01:58.930,24.99,30.30,33.60,30.04,Mens 200M Individual Medley,Semifinals
14,NZL,Lewis CLAREBURT,25,0.70,ELIMINATED,1900-01-01 00:02:00.060,25.60,30.04,36.19,28.23,Mens 200M Individual Medley,Semifinals
15,ALG,Jaouad SYOUD,24,0.77,ELIMINATED,1900-01-01 00:02:00.130,25.68,30.44,34.81,29.20,Mens 200M Individual Medley,Semifinals
16,GRE,Apostolos PAPASTAMOS,23,0.68,ELIMINATED,1900-01-01 00:02:01.020,25.82,30.47,35.45,29.28,Mens 200M Individual Medley,Semifinals
