Place,Country,Name,Age,RT,Status,Time,Event,Round
1,AUS,Cameron MCEVOY,30,0.56,QUALIFIED,1900-01-01 00:00:21.320,Mens 50M Freestyle,Heats
2,CAY,Jordan CROOKS,22,0.64,QUALIFIED,1900-01-01 00:00:21.510,Mens 50M Freestyle,Heats
3,FRA,Florent MANAUDOU,33,0.66,QUALIFIED,1900-01-01 00:00:21.540,Mens 50M Freestyle,Heats
4,ITA,Lorenzo ZAZZERI,29,0.61,QUALIFIED,1900-01-01 00:00:21.640,Mens 50M Freestyle,Heats
5,GBR,Benjamin PROUD,29,0.60,QUALIFIED,1900-01-01 00:00:21.700,Mens 50M Freestyle,Heats
6,ITA,Leonardo DEPLANO,25,0.66,QUALIFIED,1900-01-01 00:00:21.790,Mens 50M Freestyle,Heats
7,IRL,Thomas FANNON,26,0.64,QUALIFIED,1900-01-01 00:00:21.790,Mens 50M Freestyle,Heats
8,GRE,Kristian GKOLOMEEV,31,0.67,QUALIFIED,1900-01-01 00:00:21.860,Mens 50M Freestyle,Heats
9,AUS,Ben ARMBRUSTER,22,0.66,QUALIFIED,1900-01-01 00:00:21.860,Mens 50M Freestyle,Heats
10,ISR,Meiron Amir CHERUTI,26,0.63,QUALIFIED,1900-01-01 00:00:21.880,Mens 50M Freestyle,Heats
11,UKR,Vladyslav BUKHOV,22,0.68,QUALIFIED,1900-01-01 00:00:21.890,Mens 50M Freestyle,Heats
12,MEX,Gabriel CASTANO GARCIA,26,0.59,QUALIFIED,1900-01-01 00:00:21.890,Mens 50M Freestyle,Heats
13,USA,Caeleb DRESSEL,27,0.63,QUALIFIED,1900-01-01 00:00:21.910,Mens 50M Freestyle,Heats
14,POR,Diogo MATOS RIBEIRO,19,0.62,QUALIFIED,1900-01-01 00:00:21.910,Mens 50M Freestyle,Heats
15,CAN,Josh LIENDO,21,0.63,QUALIFIED,1900-01-01 00:00:21.920,Mens 50M Freestyle,Heats
16,FRA,Maxime GROUSSET,25,0.64,QUALIFIED,1900-01-01 00:00:21.940,Mens 50M Freestyle,Heats
17,USA,Chris GUILIANO,21,0.62,ELIMINATED,1900-01-01 00:00:21.970,Mens 50M Freestyle,Heats
18,GRE,Stergios Marios BILAS,22,0.60,ELIMINATED,1900-01-01 00:00:22.000,Mens 50M Freestyle,Heats
19,ISR,Martin KARTAVI,20,0.60,ELIMINATED,1900-01-01 00:00:22.010,Mens 50M Freestyle,Heats
20,NZL,Taiko TOREPE-ORMSBY,20,0.63,ELIMINATED,1900-01-01 00:00:22.010,Mens 50M Freestyle,Heats
21,VEN,Alberto MESTRE,25,0.66,ELIMINATED,1900-01-01 00:00:22.020,Mens 50M Freestyle,Heats
22,CRO,Jere HRIBAR,20,0.69,ELIMINATED,1900-01-01 00:00:22.080,Mens 50M Freestyle,Heats
23,NED,Renzo TJON-A-JOE,29,0.62,ELIMINATED,1900-01-01 00:00:22.100,Mens 50M Freestyle,Heats
24,HKG,Ian Yentou HO,27,0.60,ELIMINATED,1900-01-01 00:00:22.120,Mens 50M Freestyle,Heats
