Place,Country,Name,Age,RT,Status,Time,Event,Round
1,AUS,Cameron MCEVOY,30,0.64,QUALIFIED,1900-01-01 00:00:21.380,Mens 50M Freestyle,Semifinals
2,GBR,Benjamin PROUD,29,0.58,QUALIFIED,1900-01-01 00:00:21.380,Mens 50M Freestyle,Semifinals
3,ITA,Leonardo DEPLANO,25,0.64,QUALIFIED,1900-01-01 00:00:21.500,Mens 50M Freestyle,Semifinals
4,CAY,Jordan CROOKS,22,0.62,QUALIFIED,1900-01-01 00:00:21.540,Mens 50M Freestyle,Semifinals
5,USA,Caeleb DRESSEL,27,0.63,QUALIFIED,1900-01-01 00:00:21.580,Mens 50M Freestyle,Semifinals
6,FRA,Maxime GROUSSET,25,0.63,QUALIFIED,1900-01-01 00:00:21.600,Mens 50M Freestyle,Semifinals
7,GRE,Kristian GKOLOMEEV,31,0.65,QUALIFIED,1900-01-01 00:00:21.620,Mens 50M Freestyle,Semifinals
8,FRA,Florent MANAUDOU,33,0.65,QUALIFIED,1900-01-01 00:00:21.640,Mens 50M Freestyle,Semifinals
9,CAN,Josh LIENDO,21,0.63,ELIMINATED,1900-01-01 00:00:21.690,Mens 50M Freestyle,Semifinals
10,IRL,Thomas FANNON,26,0.64,ELIMINATED,1900-01-01 00:00:21.740,Mens 50M Freestyle,Semifinals
11,UKR,Vladyslav BUKHOV,22,0.68,ELIMINATED,1900-01-01 00:00:21.760,Mens 50M Freestyle,Semifinals
12,ITA,Lorenzo ZAZZERI,29,0.62,ELIMINATED,1900-01-01 00:00:21.830,Mens 50M Freestyle,Semifinals
13,ISR,Meiron Amir CHERUTI,26,0.61,ELIMINATED,1900-01-01 00:00:21.910,Mens 50M Freestyle,Semifinals
14,AUS,Ben ARMBRUSTER,22,0.64,ELIMINATED,1900-01-01 00:00:21.940,Mens 50M Freestyle,Semifinals
15,MEX,Gabriel CASTANO GARCIA,26,0.59,ELIMINATED,1900-01-01 00:00:21.990,Mens 50M Freestyle,Semifinals
16,POR,Diogo MATOS RIBEIRO,19,0.62,ELIMINATED,1900-01-01 00:00:22.010,Mens 50M Freestyle,Semifinals
