Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,250m,300m,350m,400m,450m,500m,550m,600m,650m,700m,750m,800m,Event,Round
1,IRL,Daniel WIFFEN,23,0.74,QUALIFIED,1900-01-01 00:07:41.530,26.57,28.44,28.92,28.74,28.95,28.75,28.84,28.64,29.10,28.89,29.23,29.41,29.72,29.21,29.53,28.59,Mens 800M Freestyle,Heats
2,TUN,Ahmed JAOUADI,19,0.73,QUALIFIED,1900-01-01 00:07:42.070,26.68,28.82,29.13,29.54,28.82,29.25,29.03,29.38,29.50,29.34,29.31,29.46,28.98,29.23,28.62,26.98,Mens 800M Freestyle,Heats
3,ITA,Gregorio PALTRINIERI,29,0.76,QUALIFIED,1900-01-01 00:07:42.480,26.91,28.65,29.16,29.44,29.19,29.09,29.17,29.23,29.09,29.23,29.24,29.18,28.59,28.79,28.88,28.64,Mens 800M Freestyle,Heats
4,AUS,Elijah WINNINGTON,24,0.68,QUALIFIED,1900-01-01 00:07:42.860,25.42,28.12,28.44,28.91,28.83,29.16,29.17,29.56,29.46,29.70,29.56,29.73,29.32,29.66,29.31,28.51,Mens 800M Freestyle,Heats
5,USA,Bobby FINKE,24,0.77,QUALIFIED,1900-01-01 00:07:43.000,26.62,28.77,29.14,29.15,29.14,29.32,29.36,29.27,29.35,29.35,29.20,29.45,29.02,28.91,28.91,28.04,Mens 800M Freestyle,Heats
6,GER,Sven SCHWARZ,22,0.73,QUALIFIED,1900-01-01 00:07:43.670,26.98,28.65,29.22,29.19,29.21,29.30,29.44,29.25,29.17,29.42,29.45,29.26,29.34,29.27,29.04,27.48,Mens 800M Freestyle,Heats
7,ITA,Luca DE TULLIO,20,0.65,QUALIFIED,1900-01-01 00:07:44.070,27.20,29.15,29.38,29.57,29.41,29.48,29.29,29.29,29.07,29.21,29.08,29.17,29.13,29.13,28.73,27.78,Mens 800M Freestyle,Heats
8,FRA,David AUBRY,27,0.70,QUALIFIED,1900-01-01 00:07:44.590,27.29,29.39,29.48,29.75,29.51,29.70,29.83,29.62,29.16,29.17,29.05,28.93,28.94,28.81,28.43,27.53,Mens 800M Freestyle,Heats
9,AUS,Samuel SHORT,20,0.65,ELIMINATED,1900-01-01 00:07:46.830,26.35,28.28,28.66,28.78,29.13,29.13,29.23,29.24,29.46,29.59,29.95,29.78,29.96,29.85,30.02,29.42,Mens 800M Freestyle,Heats
10,CHN,Liwei FEI,21,0.67,ELIMINATED,1900-01-01 00:07:47.110,27.25,29.36,29.68,29.41,29.33,29.54,29.59,29.31,29.35,29.65,29.13,29.72,29.36,29.43,28.83,28.17,Mens 800M Freestyle,Heats
11,TUR,Kuzey TUNCELLI,16,0.70,ELIMINATED,1900-01-01 00:07:47.290,26.73,29.33,29.56,29.80,29.62,29.82,29.46,29.10,29.03,29.29,29.27,29.45,29.56,29.29,29.46,28.52,Mens 800M Freestyle,Heats
12,GER,Florian WELLBROCK,26,0.68,ELIMINATED,1900-01-01 00:07:47.910,26.83,28.41,29.12,29.07,29.42,29.31,29.56,29.39,29.92,29.77,30.27,29.72,29.88,29.42,29.58,28.24,Mens 800M Freestyle,Heats
13,AUT,Felix AUBOECK,27,0.80,ELIMINATED,1900-01-01 00:07:48.490,27.40,29.21,29.69,29.31,29.74,29.33,29.67,29.46,29.54,29.24,29.56,29.26,29.72,29.58,29.69,28.09,Mens 800M Freestyle,Heats
14,HUN,Zalan SARKANY,20,0.66,ELIMINATED,1900-01-01 00:07:48.900,27.01,29.33,29.66,29.60,29.64,29.67,29.86,29.60,29.40,29.46,29.50,29.51,29.27,29.43,29.26,28.70,Mens 800M Freestyle,Heats
15,USA,Luke WHITLOCK,18,0.72,ELIMINATED,1900-01-01 00:07:49.260,26.81,28.63,29.12,29.25,29.39,29.47,29.46,29.68,29.58,29.72,29.80,30.13,29.94,29.88,29.97,28.43,Mens 800M Freestyle,Heats
16,SWE,Victor JOHANSSON,25,0.70,ELIMINATED,1900-01-01 00:07:49.470,27.00,29.02,29.23,29.30,29.28,29.62,29.59,29.78,29.74,29.85,29.75,29.87,29.55,29.78,29.46,28.65,Mens 800M Freestyle,Heats
17,UKR,Mykhailo ROMANCHUK,27,0.73,ELIMINATED,1900-01-01 00:07:49.750,27.50,29.12,29.35,29.45,29.43,29.58,29.57,29.67,29.63,29.43,29.84,29.58,29.89,29.65,29.63,28.43,Mens 800M Freestyle,Heats
18,ESP,Carlos GARACH BENITO,20,0.68,ELIMINATED,1900-01-01 00:07:50.070,27.56,29.74,30.02,30.04,29.96,29.74,29.34,29.59,29.17,29.57,29.64,29.08,29.44,30.03,29.24,27.91,Mens 800M Freestyle,Heats
19,BEL,Lucas Pierre A HENVEAUX,23,0.66,ELIMINATED,1900-01-01 00:07:51.510,26.48,29.14,30.10,30.05,29.86,29.80,29.88,29.51,30.17,30.15,30.24,29.92,29.57,29.92,28.95,27.77,Mens 800M Freestyle,Heats
20,BRA,Guilherme COSTA,25,0.72,ELIMINATED,1900-01-01 00:07:54.410,26.97,29.05,29.38,29.94,29.46,30.27,29.97,29.99,30.18,30.65,29.84,30.12,30.35,30.46,30.16,27.62,Mens 800M Freestyle,Heats
21,CHN,Zhanshuo ZHANG,17,0.70,ELIMINATED,1900-01-01 00:07:54.440,27.15,29.38,29.72,29.98,29.90,30.13,30.26,30.03,30.20,30.35,30.30,30.53,30.49,30.20,29.49,26.33,Mens 800M Freestyle,Heats
22,UZB,Ilia SIBIRTSEV,23,0.66,ELIMINATED,1900-01-01 00:07:56.670,27.53,29.76,29.67,29.91,29.80,30.04,30.12,30.26,30.08,30.27,29.92,30.01,29.87,29.93,29.88,29.62,Mens 800M Freestyle,Heats
23,FRA,Pacome BRICOUT,19,0.72,ELIMINATED,1900-01-01 00:07:57.320,27.04,29.56,29.63,29.96,29.92,30.04,29.99,30.03,30.00,30.30,30.46,30.34,30.31,30.45,29.97,29.32,Mens 800M Freestyle,Heats
24,NOR,Jon JOENTVEDT,21,0.74,ELIMINATED,1900-01-01 00:07:59.160,27.35,29.21,29.79,29.80,30.09,30.09,30.21,30.24,30.09,30.43,30.30,30.67,30.50,30.97,30.52,28.90,Mens 800M Freestyle,Heats
25,NOR,Henrik CHRISTIANSEN,27,0.73,ELIMINATED,1900-01-01 00:08:00.550,27.49,29.14,29.57,29.80,29.96,30.03,30.18,30.04,30.16,30.11,30.39,30.88,30.82,30.99,30.91,30.08,Mens 800M Freestyle,Heats
26,GRE,Dimitrios MARKOS,22,0.70,ELIMINATED,1900-01-01 00:08:01.370,27.00,29.34,29.44,29.67,29.54,29.89,29.80,29.79,29.20,29.72,30.28,31.10,31.52,31.89,31.96,31.23,Mens 800M Freestyle,Heats
27,EGY,Marwan ELKAMASH,30,0.79,ELIMINATED,1900-01-01 00:08:07.000,26.90,28.93,29.45,30.14,30.44,30.48,30.45,30.73,30.67,30.77,31.15,31.12,31.37,31.83,31.10,31.47,Mens 800M Freestyle,Heats
28,VIE,Huy Hoang NGUYEN,24,0.68,ELIMINATED,1900-01-01 00:08:08.390,27.72,30.18,29.99,30.14,30.15,30.08,30.05,30.46,30.92,30.78,31.15,31.92,32.08,31.64,31.36,29.77,Mens 800M Freestyle,Heats
29,VEN,Alfonso Enrique MESTRE VIVAS,22,0.72,ELIMINATED,1900-01-01 00:08:12.030,27.26,29.64,30.45,30.45,30.51,30.83,31.27,31.37,31.37,31.11,31.36,31.35,31.57,31.90,31.48,30.11,Mens 800M Freestyle,Heats
30,ROU,Vlad Stefan STANCU,18,0.65,ELIMINATED,1900-01-01 00:08:20.780,27.78,30.19,30.34,30.70,30.96,31.48,31.32,32.02,31.80,31.98,31.85,32.07,32.35,32.37,31.70,31.87,Mens 800M Freestyle,Heats
31,MON,Theo DRUENNE,19,0.71,ELIMINATED,1900-01-01 00:08:25.010,28.60,31.20,31.74,31.47,31.70,31.74,32.04,31.93,31.93,31.84,31.98,32.16,32.27,31.90,32.08,30.43,Mens 800M Freestyle,Heats
