Place,Country,Name,Age,RT,Status,Time,50 Split,100 Split,Event,Round
1,USA,Katharine BERKOFF,23,0.62,QUALIFIED,1900-01-01 00:00:57.990,28.14,29.85,Womens 100M Backstroke,Heats
2,USA,Regan SMITH,22,0.52,QUALIFIED,1900-01-01 00:00:58.450,28.51,29.94,Womens 100M Backstroke,Heats
3,AUS,Kaylee MCKEOWN,23,0.57,QUALIFIED,1900-01-01 00:00:58.480,28.37,30.11,Womens 100M Backstroke,Heats
4,CAN,Kylie MASSE,28,0.55,QUALIFIED,1900-01-01 00:00:59.060,28.13,30.93,Womens 100M Backstroke,Heats
5,FRA,Emma TEREBO,26,0.61,QUALIFIED,1900-01-01 00:00:59.100,28.43,30.67,Womens 100M Backstroke,Heats
6,FRA,Beryl GASTALDELLO,29,0.58,QUALIFIED,1900-01-01 00:00:59.310,28.84,30.47,Womens 100M Backstroke,Heats
7,AUS,Iona ANDERSON,18,0.57,QUALIFIED,1900-01-01 00:00:59.370,28.51,30.86,Womens 100M Backstroke,Heats
8,ESP,Carmen WEILER SASTRE,19,0.65,QUALIFIED,1900-01-01 00:00:59.570,29.03,30.54,Womens 100M Backstroke,Heats
9,BEL,Roos VANOTTERDIJK,19,0.54,QUALIFIED,1900-01-01 00:00:59.680,29.20,30.48,Womens 100M Backstroke,Heats
10,NED,Kira TOUSSAINT,30,0.54,QUALIFIED,1900-01-01 00:00:59.840,28.72,31.12,Womens 100M Backstroke,Heats
11,CHN,Letian WAN,19,0.60,QUALIFIED,1900-01-01 00:00:59.870,28.93,30.94,Womens 100M Backstroke,Heats
12,CAN,Ingrid WILM,26,0.60,QUALIFIED,1900-01-01 00:01:00.060,29.27,30.79,Womens 100M Backstroke,Heats
13,NED,Maaike DE WAARD,27,0.65,QUALIFIED,1900-01-01 00:01:00.120,29.01,31.11,Womens 100M Backstroke,Heats
14,CHN,Xueer WANG,26,0.64,QUALIFIED,1900-01-01 00:01:00.150,29.09,31.06,Womens 100M Backstroke,Heats
15,SWE,Louise HANSSON,27,0.64,QUALIFIED,1900-01-01 00:01:00.260,28.89,31.37,Womens 100M Backstroke,Heats
16,IRL,Danielle HILL,24,0.56,QUALIFIED,1900-01-01 00:01:00.400,28.99,31.41,Womens 100M Backstroke,Heats
17,POL,Adela PISKORSKA,20,0.59,ELIMINATED,1900-01-01 00:01:00.470,29.18,31.29,Womens 100M Backstroke,Heats
18,GBR,Kathleen DAWSON,26,0.60,ELIMINATED,1900-01-01 00:01:00.690,28.61,32.08,Womens 100M Backstroke,Heats
19,GBR,Medi Eira HARRIS,21,0.69,ELIMINATED,1900-01-01 00:01:00.850,29.50,31.35,Womens 100M Backstroke,Heats
20,AIN,Anastasiya SHKURDAI,21,0.62,ELIMINATED,1900-01-01 00:01:00.940,29.96,30.98,Womens 100M Backstroke,Heats
21,MEX,Celia PULIDO ORTIZ,21,0.58,ELIMINATED,1900-01-01 00:01:01.100,28.65,32.45,Womens 100M Backstroke,Heats
22,UKR,Nika SHARAFUTDINOVA,19,0.61,ELIMINATED,1900-01-01 00:01:01.470,29.77,31.70,Womens 100M Backstroke,Heats
23,BER,Emma HARVEY,23,0.58,ELIMINATED,1900-01-01 00:01:01.780,30.02,31.76,Womens 100M Backstroke,Heats
24,BUL,Gabriela GEORGIEVA,27,0.62,ELIMINATED,1900-01-01 00:01:02.160,29.59,32.57,Womens 100M Backstroke,Heats
25,ISR,Aviv BARZELAY,22,0.59,ELIMINATED,1900-01-01 00:01:02.300,30.22,32.08,Womens 100M Backstroke,Heats
26,KAZ,Xeniya IGNATOVA,18,0.68,ELIMINATED,1900-01-01 00:01:02.510,29.76,32.75,Womens 100M Backstroke,Heats
27,TTO,Zuri FERGUSON,17,0.60,ELIMINATED,1900-01-01 00:01:02.750,30.49,32.26,Womens 100M Backstroke,Heats
28,GUA,Lucero MEJIA,16,0.65,ELIMINATED,1900-01-01 00:01:03.420,30.43,32.99,Womens 100M Backstroke,Heats
29,HKG,Sum Yuet Cindy CHEUNG,17,0.63,ELIMINATED,1900-01-01 00:01:03.450,30.54,32.91,Womens 100M Backstroke,Heats
30,SRI,Ganga SENAVIRATHNE,21,0.66,ELIMINATED,1900-01-01 00:01:04.260,31.25,33.01,Womens 100M Backstroke,Heats
31,BRN,Amani ALOBAIDLI,18,0.67,ELIMINATED,1900-01-01 00:01:04.270,31.59,32.68,Womens 100M Backstroke,Heats
32,ESA,Celina MARQUEZ,25,0.54,ELIMINATED,1900-01-01 00:01:04.550,30.49,34.06,Womens 100M Backstroke,Heats
33,DOM,Elizabeth JIMENEZ,18,0.59,ELIMINATED,1900-01-01 00:01:04.990,31.39,33.60,Womens 100M Backstroke,Heats
34,MOZ,Denise DONELLI,28,0.64,ELIMINATED,1900-01-01 00:01:08.730,33.10,35.63,Womens 100M Backstroke,Heats
35,TKM,Aynura PRIMOVA,17,0.63,ELIMINATED,1900-01-01 00:01:10.170,32.97,37.20,Womens 100M Backstroke,Heats
36,LBA,Maleek ALMUKHTAR,17,0.63,ELIMINATED,1900-01-01 00:01:10.990,33.44,37.55,Womens 100M Backstroke,Heats
