Place,Country,Name,Age,RT,Status,Time,50 Split,100 Split,Event,Round
1,USA,Regan SMITH,22,0.56,QUALIFIED,1900-01-01 00:00:57.970,28.19,29.78,Womens 100M Backstroke,Semifinals
2,AUS,Kaylee MCKEOWN,23,0.55,QUALIFIED,1900-01-01 00:00:57.990,28.23,29.76,Womens 100M Backstroke,Semifinals
3,USA,Katharine BERKOFF,23,0.61,QUALIFIED,1900-01-01 00:00:58.270,28.31,29.96,Womens 100M Backstroke,Semifinals
4,AUS,Iona ANDERSON,18,0.61,QUALIFIED,1900-01-01 00:00:58.630,28.62,30.01,Womens 100M Backstroke,Semifinals
5,CAN,Kylie MASSE,28,0.56,QUALIFIED,1900-01-01 00:00:58.820,28.24,30.58,Womens 100M Backstroke,Semifinals
6,CAN,Ingrid WILM,26,0.61,QUALIFIED,1900-01-01 00:00:59.100,28.80,30.30,Womens 100M Backstroke,Semifinals
7,FRA,Beryl GASTALDELLO,29,0.57,QUALIFIED,1900-01-01 00:00:59.290,28.53,30.76,Womens 100M Backstroke,Semifinals
8,FRA,Emma TEREBO,26,0.61,QUALIFIED,1900-01-01 00:00:59.500,28.70,30.80,Womens 100M Backstroke,Semifinals
9,ESP,Carmen WEILER SASTRE,19,0.64,QUALIFIED,1900-01-01 00:00:59.720,29.07,30.65,Womens 100M Backstroke,Semifinals
10,BEL,Roos VANOTTERDIJK,19,0.55,QUALIFIED,1900-01-01 00:00:59.860,29.03,30.83,Womens 100M Backstroke,Semifinals
11,CHN,Xueer WANG,26,0.62,QUALIFIED,1900-01-01 00:00:59.890,28.48,31.41,Womens 100M Backstroke,Semifinals
12,CHN,Letian WAN,19,0.55,QUALIFIED,1900-01-01 00:01:00.060,28.55,31.51,Womens 100M Backstroke,Semifinals
13,NED,Maaike DE WAARD,27,0.69,QUALIFIED,1900-01-01 00:01:00.220,28.83,31.39,Womens 100M Backstroke,Semifinals
14,NED,Kira TOUSSAINT,30,0.53,QUALIFIED,1900-01-01 00:01:00.370,28.64,31.73,Womens 100M Backstroke,Semifinals
15,SWE,Louise HANSSON,27,0.64,QUALIFIED,1900-01-01 00:01:00.470,28.89,31.58,Womens 100M Backstroke,Semifinals
16,IRL,Danielle HILL,24,0.57,QUALIFIED,1900-01-01 00:01:00.800,28.92,31.88,Womens 100M Backstroke,Semifinals
