Place,Country,Name,Age,RT,Status,Time,50 Split,100 Split,Event,Round
1,RSA,Tatjana SCHOENMAKER,27,0.65,QUALIFIED,1900-01-01 00:01:05.000,30.57,34.43,Womens 100M Breaststroke,Heats
2,CHN,Qianting TANG,20,0.71,QUALIFIED,1900-01-01 00:01:05.630,30.45,35.18,Womens 100M Breaststroke,Heats
3,IRL,Mona MC SHARRY,23,0.68,QUALIFIED,1900-01-01 00:01:05.740,30.82,34.92,Womens 100M Breaststroke,Heats
4,JPN,Satomi SUZUKI,33,0.63,QUALIFIED,1900-01-01 00:01:06.040,30.73,35.31,Womens 100M Breaststroke,Heats
5,USA,Lilly KING,27,0.65,QUALIFIED,1900-01-01 00:01:06.100,30.77,35.33,Womens 100M Breaststroke,Heats
6,ITA,Benedetta PILATO,19,0.65,QUALIFIED,1900-01-01 00:01:06.190,30.61,35.58,Womens 100M Breaststroke,Heats
7,ISR,Anastasia GORBENKO,20,0.68,QUALIFIED,1900-01-01 00:01:06.220,30.92,35.30,Womens 100M Breaststroke,Heats
8,EST,Eneli JEFIMOVA,17,0.65,QUALIFIED,1900-01-01 00:01:06.240,31.05,35.19,Womens 100M Breaststroke,Heats
9,ITA,Lisa ANGIOLINI,29,0.73,ELIMINATED,1900-01-01 00:01:06.270,31.05,35.22,Womens 100M Breaststroke,Heats
10,LTU,Ruta MEILUTYTE,27,0.59,ELIMINATED,1900-01-01 00:01:06.340,30.18,36.16,Womens 100M Breaststroke,Heats
11,AIN,Alina ZMUSHKA,27,0.69,ELIMINATED,1900-01-01 00:01:06.370,31.61,34.76,Womens 100M Breaststroke,Heats
12,GBR,Angharad EVANS,21,0.67,ELIMINATED,1900-01-01 00:01:06.380,31.14,35.24,Womens 100M Breaststroke,Heats
13,SWE,Sophie HANSSON,25,0.70,ELIMINATED,1900-01-01 00:01:06.660,31.07,35.59,Womens 100M Breaststroke,Heats
14,NED,Tes SCHOUTEN,23,0.67,ELIMINATED,1900-01-01 00:01:06.690,31.54,35.15,Womens 100M Breaststroke,Heats
15,LTU,Kotryna TETEREVKOVA,22,0.68,ELIMINATED,1900-01-01 00:01:06.760,31.20,35.56,Womens 100M Breaststroke,Heats
16,ARG,Macarena CEBALLOS,29,0.67,ELIMINATED,1900-01-01 00:01:06.890,31.44,35.45,Womens 100M Breaststroke,Heats
17,CHN,Chang YANG,22,0.65,ELIMINATED,1900-01-01 00:01:06.910,31.63,35.28,Womens 100M Breaststroke,Heats
18,CAN,Sophie ANGUS,25,0.70,ELIMINATED,1900-01-01 00:01:06.930,31.66,35.27,Womens 100M Breaststroke,Heats
19,JPN,Reona AOKI,29,0.68,ELIMINATED,1900-01-01 00:01:06.980,31.09,35.89,Womens 100M Breaststroke,Heats
20,GER,Anna ELENDT,22,0.68,ELIMINATED,1900-01-01 00:01:07.000,30.71,36.29,Womens 100M Breaststroke,Heats
21,POL,Dominika SZTANDERA,27,0.65,ELIMINATED,1900-01-01 00:01:07.220,30.98,36.24,Womens 100M Breaststroke,Heats
22,AUS,Jenna STRAUCH,27,0.72,ELIMINATED,1900-01-01 00:01:07.270,31.58,35.69,Womens 100M Breaststroke,Heats
23,SUI,Lisa MAMIE,25,0.69,ELIMINATED,1900-01-01 00:01:07.650,31.58,36.07,Womens 100M Breaststroke,Heats
24,USA,Emma WEBER,20,0.73,ELIMINATED,1900-01-01 00:01:07.650,31.60,36.05,Womens 100M Breaststroke,Heats
25,SGP,En Yi Letitia SIM,21,0.65,ELIMINATED,1900-01-01 00:01:07.750,31.72,36.03,Womens 100M Breaststroke,Heats
26,FIN,Ida HULKKO,25,0.68,ELIMINATED,1900-01-01 00:01:08.730,31.77,36.96,Womens 100M Breaststroke,Heats
27,ESP,Jessica VALL MONTERO,35,0.66,ELIMINATED,1900-01-01 00:01:08.780,32.34,36.44,Womens 100M Breaststroke,Heats
28,CZE,Kristyna HORSKA,26,0.72,ELIMINATED,1900-01-01 00:01:08.960,32.60,36.36,Womens 100M Breaststroke,Heats
29,COL,Stefania GOMEZ HURTADO,20,0.67,ELIMINATED,1900-01-01 00:01:09.160,31.99,37.17,Womens 100M Breaststroke,Heats
30,PAN,Emily EMILY SANTOS,19,0.68,ELIMINATED,1900-01-01 00:01:09.940,32.62,37.32,Womens 100M Breaststroke,Heats
31,LBN,Lynn EL HAJJ,17,0.70,ELIMINATED,1900-01-01 00:01:10.270,32.79,37.48,Womens 100M Breaststroke,Heats
32,COK,Lanihei CONNOLLY,18,0.75,ELIMINATED,1900-01-01 00:01:10.450,32.66,37.79,Womens 100M Breaststroke,Heats
33,MAS,Rouxin TAN,18,0.67,ELIMINATED,1900-01-01 00:01:12.500,33.70,38.80,Womens 100M Breaststroke,Heats
34,MAR,Imane Houda EL BARODI,23,0.61,ELIMINATED,1900-01-01 00:01:14.570,33.70,40.87,Womens 100M Breaststroke,Heats
35,ANT,Ellie SHAW,15,0.74,ELIMINATED,1900-01-01 00:01:14.780,34.34,40.44,Womens 100M Breaststroke,Heats
36,GAM,Aminata Nia-Maria BARROW,20,0.75,ELIMINATED,1900-01-01 00:01:15.120,34.58,40.54,Womens 100M Breaststroke,Heats
37,KUW,Lara DASHTI,20,0.76,ELIMINATED,1900-01-01 00:01:15.670,34.64,41.03,Womens 100M Breaststroke,Heats
