Place,Country,Name,Age,RT,Status,Time,50 Split,100 Split,Event,Round
1,RSA,Tatjana SCHOENMAKER,27,0.67,QUALIFIED,1900-01-01 00:01:05.000,30.63,34.37,Womens 100M Breaststroke,Semifinals
2,IRL,Mona MC SHARRY,23,0.67,QUALIFIED,1900-01-01 00:01:05.510,30.96,34.55,Womens 100M Breaststroke,Semifinals
3,USA,Lilly KING,27,0.67,QUALIFIED,1900-01-01 00:01:05.640,30.96,34.68,Womens 100M Breaststroke,Semifinals
4,CHN,Qianting TANG,20,0.71,QUALIFIED,1900-01-01 00:01:05.830,30.60,35.23,Womens 100M Breaststroke,Semifinals
5,AIN,Alina ZMUSHKA,27,0.70,QUALIFIED,1900-01-01 00:01:05.930,30.89,35.04,Womens 100M Breaststroke,Semifinals
6,GBR,Angharad EVANS,21,0.67,QUALIFIED,1900-01-01 00:01:05.990,31.43,34.56,Womens 100M Breaststroke,Semifinals
7,ITA,Benedetta PILATO,19,0.66,QUALIFIED,1900-01-01 00:01:06.120,30.26,35.86,Womens 100M Breaststroke,Semifinals
8,EST,Eneli JEFIMOVA,17,0.66,QUALIFIED,1900-01-01 00:01:06.230,31.06,35.17,Womens 100M Breaststroke,Semifinals
9,ITA,Lisa ANGIOLINI,29,0.70,QUALIFIED,1900-01-01 00:01:06.390,31.51,34.88,Womens 100M Breaststroke,Semifinals
10,NED,Tes SCHOUTEN,23,0.66,QUALIFIED,1900-01-01 00:01:06.560,31.39,35.17,Womens 100M Breaststroke,Semifinals
11,LTU,Ruta MEILUTYTE,27,0.58,QUALIFIED,1900-01-01 00:01:06.890,30.81,36.08,Womens 100M Breaststroke,Semifinals
12,JPN,Satomi SUZUKI,33,0.63,QUALIFIED,1900-01-01 00:01:06.900,31.02,35.88,Womens 100M Breaststroke,Semifinals
13,SWE,Sophie HANSSON,25,0.71,QUALIFIED,1900-01-01 00:01:06.960,31.53,35.43,Womens 100M Breaststroke,Semifinals
14,CHN,Chang YANG,22,0.68,QUALIFIED,1900-01-01 00:01:07.200,31.40,35.80,Womens 100M Breaststroke,Semifinals
15,ARG,Macarena CEBALLOS,29,0.68,QUALIFIED,1900-01-01 00:01:07.310,31.21,36.10,Womens 100M Breaststroke,Semifinals
16,LTU,Kotryna TETEREVKOVA,22,0.68,QUALIFIED,1900-01-01 00:01:07.480,31.29,36.19,Womens 100M Breaststroke,Semifinals
