Place,Country,Name,Age,RT,Status,Time,50 Split,100 Split,Event,Round
1,USA,Gretchen WALSH,21,0.76,QUALIFIED,1900-01-01 00:00:55.380,25.29,30.09,Womens 100M Butterfly,Semifinals
2,USA,Torri HUSKE,21,0.61,QUALIFIED,1900-01-01 00:00:56.000,25.69,30.31,Womens 100M Butterfly,Semifinals
3,CHN,Yufei ZHANG,26,0.63,QUALIFIED,1900-01-01 00:00:56.150,25.81,30.34,Womens 100M Butterfly,Semifinals
4,GER,Angelina KOHLER,23,0.74,QUALIFIED,1900-01-01 00:00:56.550,26.38,30.17,Womens 100M Butterfly,Semifinals
5,CAN,Margaret MACNEIL,24,0.67,QUALIFIED,1900-01-01 00:00:56.550,26.34,30.21,Womens 100M Butterfly,Semifinals
6,AUS,Emma MCKEON,30,0.71,QUALIFIED,1900-01-01 00:00:56.740,26.18,30.56,Womens 100M Butterfly,Semifinals
7,JPN,Mizuki HIRAI,17,0.59,QUALIFIED,1900-01-01 00:00:56.800,26.12,30.68,Womens 100M Butterfly,Semifinals
8,SWE,Louise HANSSON,27,0.72,QUALIFIED,1900-01-01 00:00:56.930,26.51,30.42,Womens 100M Butterfly,Semifinals
9,FRA,Marie WATTEL,27,0.70,QUALIFIED,1900-01-01 00:00:57.240,26.58,30.66,Womens 100M Butterfly,Semifinals
10,BEL,Roos VANOTTERDIJK,19,0.66,QUALIFIED,1900-01-01 00:00:57.250,26.48,30.77,Womens 100M Butterfly,Semifinals
11,CZE,Barbora SEEMANOVA,24,0.62,QUALIFIED,1900-01-01 00:00:57.640,26.35,31.29,Womens 100M Butterfly,Semifinals
12,JPN,Rikako IKEE,24,0.67,QUALIFIED,1900-01-01 00:00:57.790,26.36,31.43,Womens 100M Butterfly,Semifinals
13,AUS,Alexandria PERKINS,24,0.69,QUALIFIED,1900-01-01 00:00:57.840,26.50,31.34,Womens 100M Butterfly,Semifinals
14,RSA,Erin GALLAGHER,25,0.70,QUALIFIED,1900-01-01 00:00:57.900,26.62,31.28,Womens 100M Butterfly,Semifinals
15,NED,Tessa GIELE,21,0.61,QUALIFIED,1900-01-01 00:00:57.910,26.43,31.48,Womens 100M Butterfly,Semifinals
16,GBR,Keanna Louise MACINNES,22,0.66,QUALIFIED,1900-01-01 00:00:58.110,27.18,30.93,Womens 100M Butterfly,Semifinals
