Place,Country,Name,Age,RT,Status,Time,50 Split,100 Split,Event,Round
1,SWE,Sarah SJOESTROEM,30,0.62,QUALIFIED,1900-01-01 00:00:52.990,25.44,27.55,Womens 100M Freestyle,Heats
2,HKG,Siobhan Bernadette HAUGHEY,26,0.68,QUALIFIED,1900-01-01 00:00:53.020,25.38,27.64,Womens 100M Freestyle,Heats
3,CHN,Junxuan YANG,22,0.68,QUALIFIED,1900-01-01 00:00:53.050,25.62,27.43,Womens 100M Freestyle,Heats
4,NED,Marrit STEENBERGEN,24,0.74,QUALIFIED,1900-01-01 00:00:53.220,26.03,27.19,Womens 100M Freestyle,Heats
5,AUS,Mollie O'CALLAGHAN,20,0.70,QUALIFIED,1900-01-01 00:00:53.270,26.15,27.12,Womens 100M Freestyle,Heats
6,AUS,Shayna JACK,25,0.70,QUALIFIED,1900-01-01 00:00:53.400,25.97,27.43,Womens 100M Freestyle,Heats
7,USA,Torri HUSKE,21,0.62,QUALIFIED,1900-01-01 00:00:53.530,25.50,28.03,Womens 100M Freestyle,Heats
8,USA,Gretchen WALSH,21,0.73,QUALIFIED,1900-01-01 00:00:53.540,25.21,28.33,Womens 100M Freestyle,Heats
9,FRA,Beryl GASTALDELLO,29,0.64,QUALIFIED,1900-01-01 00:00:53.650,25.87,27.78,Womens 100M Freestyle,Heats
10,GBR,Anna HOPKIN,28,0.68,QUALIFIED,1900-01-01 00:00:53.670,25.60,28.07,Womens 100M Freestyle,Heats
11,PHI,Kayla SANCHEZ,23,0.66,QUALIFIED,1900-01-01 00:00:53.670,25.63,28.04,Womens 100M Freestyle,Heats
12,FRA,Marie WATTEL,27,0.69,QUALIFIED,1900-01-01 00:00:53.700,25.61,28.09,Womens 100M Freestyle,Heats
13,CHN,Qingfeng WU,21,0.71,QUALIFIED,1900-01-01 00:00:54.030,25.55,28.48,Womens 100M Freestyle,Heats
14,SWE,Michelle COLEMAN,30,0.67,QUALIFIED,1900-01-01 00:00:54.100,26.05,28.05,Womens 100M Freestyle,Heats
15,SLO,Neza KLANCAR,24,0.69,QUALIFIED,1900-01-01 00:00:54.120,25.98,28.14,Womens 100M Freestyle,Heats
16,CAN,Margaret MACNEIL,24,0.70,QUALIFIED,1900-01-01 00:00:54.160,26.46,27.70,Womens 100M Freestyle,Heats
17,CZE,Barbora SEEMANOVA,24,0.62,ELIMINATED,1900-01-01 00:00:54.660,26.31,28.35,Womens 100M Freestyle,Heats
18,CYP,Kalia ANTONIOU,24,0.67,ELIMINATED,1900-01-01 00:00:54.750,26.51,28.24,Womens 100M Freestyle,Heats
19,ISL,Snaefridur Sol JORUNNARDOTTIR,23,0.76,ELIMINATED,1900-01-01 00:00:54.850,26.66,28.19,Womens 100M Freestyle,Heats
20,POL,Kornelia FIEDKIEWICZ,22,0.62,ELIMINATED,1900-01-01 00:00:55.250,26.38,28.87,Womens 100M Freestyle,Heats
21,CRO,Jana PAVALIC,17,0.69,ELIMINATED,1900-01-01 00:00:55.770,26.26,29.51,Womens 100M Freestyle,Heats
22,UGA,Gloria Anna MUZITO,21,0.67,ELIMINATED,1900-01-01 00:00:55.950,26.81,29.14,Womens 100M Freestyle,Heats
23,CAY,Jillian Janis Geohagan CROOKS,18,0.63,ELIMINATED,1900-01-01 00:00:56.150,26.93,29.22,Womens 100M Freestyle,Heats
24,ALG,Nesrine MEDJAHED,24,0.65,ELIMINATED,1900-01-01 00:00:57.340,27.60,29.74,Womens 100M Freestyle,Heats
25,ZIM,Paige VAN DER WESTHUIZEN,21,0.75,ELIMINATED,1900-01-01 00:00:58.190,27.34,30.85,Womens 100M Freestyle,Heats
26,GRN,Tilly COLLYMORE,16,0.65,ELIMINATED,1900-01-01 00:00:58.840,28.27,30.57,Womens 100M Freestyle,Heats
27,BOT,Maxine EGNER,20,0.76,ELIMINATED,1900-01-01 00:00:58.980,27.78,31.20,Womens 100M Freestyle,Heats
28,GUY,Aleka Kylela PERSAUD,18,0.65,ELIMINATED,1900-01-01 00:01:01.290,28.74,32.55,Womens 100M Freestyle,Heats
29,SUD,Rana SAADELDIN,15,0.68,ELIMINATED,1900-01-01 00:01:04.720,30.73,33.99,Womens 100M Freestyle,Heats
