Place,Country,Name,Age,RT,Status,Time,50 Split,100 Split,Event,Round
1,HKG,Siobhan Bernadette HAUGHEY,26,0.68,QUALIFIED,1900-01-01 00:00:52.640,25.50,27.14,Womens 100M Freestyle,Semifinals
2,AUS,Shayna JACK,25,0.69,QUALIFIED,1900-01-01 00:00:52.720,25.18,27.54,Womens 100M Freestyle,Semifinals
3,AUS,Mollie O'CALLAGHAN,20,0.69,QUALIFIED,1900-01-01 00:00:52.750,25.89,26.86,Womens 100M Freestyle,Semifinals
4,CHN,Junxuan YANG,22,0.68,QUALIFIED,1900-01-01 00:00:52.810,25.40,27.41,Womens 100M Freestyle,Semifinals
5,NED,Marrit STEENBERGEN,24,0.75,QUALIFIED,1900-01-01 00:00:52.860,25.72,27.14,Womens 100M Freestyle,Semifinals
6,SWE,Sarah SJOESTROEM,30,0.63,QUALIFIED,1900-01-01 00:00:52.870,25.31,27.56,Womens 100M Freestyle,Semifinals
7,USA,Torri HUSKE,21,0.62,QUALIFIED,1900-01-01 00:00:52.990,25.24,27.75,Womens 100M Freestyle,Semifinals
8,USA,Gretchen WALSH,21,0.72,QUALIFIED,1900-01-01 00:00:53.180,25.05,28.13,Womens 100M Freestyle,Semifinals
9,CHN,Qingfeng WU,21,0.68,ELIMINATED,1900-01-01 00:00:53.340,25.22,28.12,Womens 100M Freestyle,Semifinals
10,FRA,Marie WATTEL,27,0.70,ELIMINATED,1900-01-01 00:00:53.380,25.68,27.70,Womens 100M Freestyle,Semifinals
11,GBR,Anna HOPKIN,28,0.68,ELIMINATED,1900-01-01 00:00:53.740,25.22,28.52,Womens 100M Freestyle,Semifinals
12,SWE,Michelle COLEMAN,30,0.68,ELIMINATED,1900-01-01 00:00:53.750,25.67,28.08,Womens 100M Freestyle,Semifinals
13,CZE,Barbora SEEMANOVA,24,0.63,ELIMINATED,1900-01-01 00:00:53.940,25.85,28.09,Womens 100M Freestyle,Semifinals
14,SLO,Neza KLANCAR,24,0.68,ELIMINATED,1900-01-01 00:00:53.960,25.88,28.08,Womens 100M Freestyle,Semifinals
15,PHI,Kayla SANCHEZ,23,0.68,ELIMINATED,1900-01-01 00:00:54.210,26.07,28.14,Womens 100M Freestyle,Semifinals
16,FRA,Beryl GASTALDELLO,29,0.65,ELIMINATED,1900-01-01 00:00:54.290,26.28,28.01,Womens 100M Freestyle,Semifinals
