Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,250m,300m,350m,400m,450m,500m,550m,600m,650m,700m,750m,800m,850m,900m,950m,1000m,1050m,1100m,1150m,1200m,1250m,1300m,1350m,1400m,1450m,1500m,Event,Round
1,USA,Katie LEDECKY,27,0.69,QUALIFIED,1900-01-01 00:15:47.430,27.98,30.44,31.09,31.54,31.48,31.51,31.68,32.08,31.84,31.98,31.67,31.72,31.89,31.83,31.78,31.77,31.81,31.73,31.88,31.95,31.97,31.89,31.86,32.05,32.30,31.93,31.85,31.51,31.60,30.82,Womens 1500M Freestyle,Heats
2,ITA,Simona QUADARELLA,25,0.82,QUALIFIED,1900-01-01 00:15:51.190,29.65,31.40,31.50,31.72,31.70,31.74,31.64,31.79,31.62,31.83,31.88,31.69,31.79,31.83,32.13,31.76,31.97,31.49,31.80,31.95,31.77,31.73,31.72,31.95,31.70,31.98,32.15,31.90,31.72,31.69,Womens 1500M Freestyle,Heats
3,FRA,Anastasiia KIRPICHNIKOVA,24,0.71,QUALIFIED,1900-01-01 00:15:52.460,29.11,31.26,31.53,31.61,31.76,31.65,31.85,31.73,31.87,31.80,31.97,31.79,31.94,31.96,32.01,31.86,32.01,31.81,31.89,31.88,31.93,31.98,31.97,32.13,32.08,31.99,31.87,32.11,31.90,31.21,Womens 1500M Freestyle,Heats
4,GER,Isabel GOSE,22,0.78,QUALIFIED,1900-01-01 00:15:53.270,29.65,31.44,31.58,31.65,31.75,31.78,31.79,31.61,31.77,31.75,31.76,31.73,31.97,31.75,31.99,31.90,32.14,31.75,32.02,31.75,31.84,31.73,32.02,31.88,32.29,32.46,32.60,32.13,32.05,30.74,Womens 1500M Freestyle,Heats
5,AUS,Moesha JOHNSON,26,0.72,QUALIFIED,1900-01-01 00:16:04.020,30.09,31.93,32.09,31.84,31.99,31.90,32.15,31.76,31.99,31.80,32.02,31.97,32.31,31.84,32.44,32.13,32.31,32.21,32.43,32.22,32.67,32.27,32.62,32.47,32.78,32.69,32.65,32.63,32.46,31.36,Womens 1500M Freestyle,Heats
6,CHN,Bingjie LI,22,0.67,QUALIFIED,1900-01-01 00:16:05.260,29.56,31.72,32.23,32.34,32.50,32.34,32.57,32.33,32.45,32.47,32.31,32.25,32.47,32.52,32.34,32.24,32.26,32.26,32.31,32.36,32.16,32.36,32.24,32.40,32.26,32.49,32.29,32.42,31.96,30.85,Womens 1500M Freestyle,Heats
7,BRA,Beatriz DIZOTTI,24,0.69,QUALIFIED,1900-01-01 00:16:05.400,29.74,31.71,31.88,32.50,32.26,32.55,32.14,32.69,32.04,32.57,32.24,32.61,32.25,32.55,32.13,32.49,32.19,32.66,32.22,32.54,32.13,32.55,32.14,32.59,32.04,32.60,32.20,32.54,31.76,30.89,Womens 1500M Freestyle,Heats
8,GER,Leonie MARTENS,20,0.79,QUALIFIED,1900-01-01 00:16:08.690,29.68,32.05,32.00,32.26,32.19,32.50,32.04,32.45,31.95,32.63,32.11,32.78,32.22,32.51,32.29,32.86,32.21,32.87,32.20,32.75,32.33,32.76,32.47,32.81,32.36,32.59,32.47,32.62,32.23,31.50,Womens 1500M Freestyle,Heats
9,SGP,Ching Hwee GAN,21,0.61,ELIMINATED,1900-01-01 00:16:10.130,29.85,32.03,32.04,32.39,32.26,32.39,32.24,32.46,32.26,32.52,32.30,32.57,32.35,32.52,32.46,32.61,32.36,32.56,32.36,32.46,32.53,32.51,32.48,32.63,32.63,32.45,32.55,32.85,32.66,31.85,Womens 1500M Freestyle,Heats
10,USA,Katie GRIMES,18,0.66,ELIMINATED,1900-01-01 00:16:12.110,29.31,31.77,32.47,32.25,32.64,32.47,32.67,32.43,32.60,32.53,32.51,32.45,32.53,32.57,32.72,32.40,32.32,32.76,32.89,32.70,32.63,32.78,32.89,32.60,32.70,32.78,32.83,32.23,32.27,31.41,Womens 1500M Freestyle,Heats
