Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,CHN,Xuwei PENG,21,0.61,QUALIFIED,1900-01-01 00:02:08.290,29.87,32.33,33.33,32.76,Womens 200M Backstroke,Heats
2,CAN,Kylie MASSE,28,0.56,QUALIFIED,1900-01-01 00:02:08.540,29.76,32.22,32.83,33.73,Womens 200M Backstroke,Heats
3,AUS,Kaylee MCKEOWN,23,0.57,QUALIFIED,1900-01-01 00:02:08.890,29.74,32.99,32.99,33.17,Womens 200M Backstroke,Heats
4,USA,Phoebe BACON,21,0.63,QUALIFIED,1900-01-01 00:02:09.000,30.21,32.88,33.01,32.90,Womens 200M Backstroke,Heats
5,GBR,Honey OSRIN,21,0.58,QUALIFIED,1900-01-01 00:02:09.570,30.17,32.46,33.06,33.88,Womens 200M Backstroke,Heats
6,USA,Regan SMITH,22,0.55,QUALIFIED,1900-01-01 00:02:09.610,30.45,33.26,33.20,32.70,Womens 200M Backstroke,Heats
7,AIN,Anastasiya SHKURDAI,21,0.61,QUALIFIED,1900-01-01 00:02:09.640,30.73,32.47,32.93,33.51,Womens 200M Backstroke,Heats
8,FRA,Emma TEREBO,26,0.59,QUALIFIED,1900-01-01 00:02:09.660,30.01,33.14,33.61,32.90,Womens 200M Backstroke,Heats
9,HUN,Eszter SZABO-FELTOTHY,22,0.62,QUALIFIED,1900-01-01 00:02:09.720,30.93,32.82,33.27,32.70,Womens 200M Backstroke,Heats
10,KOR,Eunji LEE,18,0.53,QUALIFIED,1900-01-01 00:02:09.880,30.87,32.73,33.46,32.82,Womens 200M Backstroke,Heats
11,GBR,Katie SHANAHAN,20,0.70,QUALIFIED,1900-01-01 00:02:09.920,30.68,32.81,33.17,33.26,Womens 200M Backstroke,Heats
12,ESP,Carmen WEILER SASTRE,19,0.64,QUALIFIED,1900-01-01 00:02:10.090,31.19,32.89,32.79,33.22,Womens 200M Backstroke,Heats
13,ISR,Anastasia GORBENKO,20,0.64,QUALIFIED,1900-01-01 00:02:10.290,30.19,32.97,33.59,33.54,Womens 200M Backstroke,Heats
14,FRA,Pauline MAHIEU,25,0.69,QUALIFIED,1900-01-01 00:02:10.300,30.27,32.57,33.90,33.56,Womens 200M Backstroke,Heats
15,ESP,Africa ZAMORANO SANZ,26,0.54,QUALIFIED,1900-01-01 00:02:10.400,31.02,32.87,33.57,32.94,Womens 200M Backstroke,Heats
16,HUN,Dora MOLNAR,18,0.61,QUALIFIED,1900-01-01 00:02:10.510,30.10,33.07,33.59,33.75,Womens 200M Backstroke,Heats
17,AUS,Jaclyn BARCLAY,17,0.61,ELIMINATED,1900-01-01 00:02:10.530,30.31,32.99,33.52,33.71,Womens 200M Backstroke,Heats
18,ISR,Aviv BARZELAY,22,0.62,ELIMINATED,1900-01-01 00:02:10.710,31.04,32.91,33.07,33.69,Womens 200M Backstroke,Heats
19,POR,Camila REBELO,21,0.59,ELIMINATED,1900-01-01 00:02:11.260,30.97,33.19,33.53,33.57,Womens 200M Backstroke,Heats
20,ITA,Margherita PANZIERA,28,0.63,ELIMINATED,1900-01-01 00:02:11.600,31.17,33.44,33.66,33.33,Womens 200M Backstroke,Heats
21,BUL,Gabriela GEORGIEVA,27,0.61,ELIMINATED,1900-01-01 00:02:12.150,30.58,32.74,34.07,34.76,Womens 200M Backstroke,Heats
22,CAN,Regan RATHWELL,20,0.59,ELIMINATED,1900-01-01 00:02:12.210,31.00,32.99,34.18,34.04,Womens 200M Backstroke,Heats
23,MDA,Tatiana SALCUTAN,23,0.68,ELIMINATED,1900-01-01 00:02:13.200,30.93,33.74,34.22,34.31,Womens 200M Backstroke,Heats
24,POL,Adela PISKORSKA,20,0.60,ELIMINATED,1900-01-01 00:02:13.390,30.69,33.52,34.56,34.62,Womens 200M Backstroke,Heats
25,POL,Laura BERNAT,18,0.66,ELIMINATED,1900-01-01 00:02:14.570,31.04,33.68,34.55,35.30,Womens 200M Backstroke,Heats
26,HKG,Sum Yuet Cindy CHEUNG,17,0.65,ELIMINATED,1900-01-01 00:02:17.320,31.24,33.57,35.86,36.65,Womens 200M Backstroke,Heats
27,MRI,Anishta TEELUCK,23,0.56,ELIMINATED,1900-01-01 00:02:18.670,32.28,34.87,35.49,36.03,Womens 200M Backstroke,Heats
