Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,USA,Phoebe BACON,21,0.59,QUALIFIED,1900-01-01 00:02:07.320,29.74,32.02,32.91,32.65,Womens 200M Backstroke,Semifinals
2,AUS,Kaylee MCKEOWN,23,0.56,QUALIFIED,1900-01-01 00:02:07.570,29.35,32.60,33.08,32.54,Womens 200M Backstroke,Semifinals
3,GBR,Honey OSRIN,21,0.61,QUALIFIED,1900-01-01 00:02:07.840,29.95,32.25,32.60,33.04,Womens 200M Backstroke,Semifinals
4,CHN,Xuwei PENG,21,0.59,QUALIFIED,1900-01-01 00:02:07.860,29.70,32.50,33.09,32.57,Womens 200M Backstroke,Semifinals
5,CAN,Kylie MASSE,28,0.55,QUALIFIED,1900-01-01 00:02:07.920,29.77,32.49,32.79,32.87,Womens 200M Backstroke,Semifinals
6,USA,Regan SMITH,22,0.58,QUALIFIED,1900-01-01 00:02:08.140,29.83,32.58,32.62,33.11,Womens 200M Backstroke,Semifinals
7,GBR,Katie SHANAHAN,20,0.69,QUALIFIED,1900-01-01 00:02:08.520,30.63,32.45,33.31,32.13,Womens 200M Backstroke,Semifinals
8,AIN,Anastasiya SHKURDAI,21,0.60,QUALIFIED,1900-01-01 00:02:08.790,30.66,32.59,33.37,32.17,Womens 200M Backstroke,Semifinals
9,FRA,Emma TEREBO,26,0.60,ELIMINATED,1900-01-01 00:02:09.380,29.84,32.38,33.77,33.39,Womens 200M Backstroke,Semifinals
10,HUN,Eszter SZABO-FELTOTHY,22,0.60,ELIMINATED,1900-01-01 00:02:09.410,30.61,32.58,33.03,33.19,Womens 200M Backstroke,Semifinals
11,FRA,Pauline MAHIEU,25,0.69,ELIMINATED,1900-01-01 00:02:09.560,30.34,33.06,33.43,32.73,Womens 200M Backstroke,Semifinals
12,HUN,Dora MOLNAR,18,0.61,ELIMINATED,1900-01-01 00:02:09.830,30.61,32.68,33.58,32.96,Womens 200M Backstroke,Semifinals
13,ESP,Carmen WEILER SASTRE,19,0.67,ELIMINATED,1900-01-01 00:02:09.990,30.90,32.12,33.51,33.46,Womens 200M Backstroke,Semifinals
14,ESP,Africa ZAMORANO SANZ,26,0.53,ELIMINATED,1900-01-01 00:02:10.630,30.29,32.98,33.86,33.50,Womens 200M Backstroke,Semifinals
15,KOR,Eunji LEE,18,0.53,ELIMINATED,1900-01-01 00:02:11.860,30.54,33.08,34.04,34.20,Womens 200M Backstroke,Semifinals
16,ISR,Anastasia GORBENKO,20,0.65,ELIMINATED,1900-01-01 00:02:11.960,30.51,33.14,33.76,34.55,Womens 200M Backstroke,Semifinals
