Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,USA,Kate DOUGLASS,22,0.67,QUALIFIED,1900-01-01 00:02:19.740,31.88,35.46,35.91,36.49,Womens 200M Breaststroke,Semifinals
2,RSA,Tatjana SCHOENMAKER,27,0.67,QUALIFIED,1900-01-01 00:02:19.940,31.64,35.51,35.99,36.80,Womens 200M Breaststroke,Semifinals
3,NED,Tes SCHOUTEN,23,0.67,QUALIFIED,1900-01-01 00:02:22.740,31.93,35.63,36.88,38.30,Womens 200M Breaststroke,Semifinals
4,RSA,Kaylene CORBETT,25,0.76,QUALIFIED,1900-01-01 00:02:22.870,32.64,36.32,36.52,37.39,Womens 200M Breaststroke,Semifinals
5,CHN,Shiwen YE,28,0.70,QUALIFIED,1900-01-01 00:02:23.130,32.65,35.95,36.79,37.74,Womens 200M Breaststroke,Semifinals
6,USA,Lilly KING,27,0.66,QUALIFIED,1900-01-01 00:02:23.250,31.82,36.04,37.78,37.61,Womens 200M Breaststroke,Semifinals
7,LTU,Kotryna TETEREVKOVA,22,0.71,QUALIFIED,1900-01-01 00:02:23.420,32.77,36.37,36.46,37.82,Womens 200M Breaststroke,Semifinals
8,JPN,Satomi SUZUKI,33,0.62,QUALIFIED,1900-01-01 00:02:23.540,32.24,36.10,37.36,37.84,Womens 200M Breaststroke,Semifinals
9,CAN,Sydney PICKREM,27,0.72,ELIMINATED,1900-01-01 00:02:24.030,32.71,36.33,37.39,37.60,Womens 200M Breaststroke,Semifinals
10,AUS,Jenna STRAUCH,27,0.70,ELIMINATED,1900-01-01 00:02:24.050,32.75,36.27,36.72,38.31,Womens 200M Breaststroke,Semifinals
11,IRL,Mona MC SHARRY,23,0.68,ELIMINATED,1900-01-01 00:02:24.480,32.67,35.96,37.45,38.40,Womens 200M Breaststroke,Semifinals
12,AUS,Ella RAMSAY,20,0.65,ELIMINATED,1900-01-01 00:02:24.560,32.36,36.78,37.70,37.72,Womens 200M Breaststroke,Semifinals
13,CAN,Kelsey Lauren WOG,25,0.68,ELIMINATED,1900-01-01 00:02:24.820,33.21,36.45,37.61,37.55,Womens 200M Breaststroke,Semifinals
14,ITA,Francesca FANGIO,28,0.68,ELIMINATED,1900-01-01 00:02:25.390,33.12,36.82,37.68,37.77,Womens 200M Breaststroke,Semifinals
15,CZE,Kristyna HORSKA,26,0.72,ELIMINATED,1900-01-01 00:02:25.770,33.14,36.80,37.42,38.41,Womens 200M Breaststroke,Semifinals
16,ESP,Jessica VALL MONTERO,35,0.70,ELIMINATED,1900-01-01 00:02:26.220,33.02,36.78,37.26,39.16,Womens 200M Breaststroke,Semifinals
