Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,CHN,Yufei ZHANG,26,0.66,QUALIFIED,1900-01-01 00:02:06.550,27.29,32.19,33.35,33.72,Womens 200M Butterfly,Heats
2,USA,Regan SMITH,22,0.71,QUALIFIED,1900-01-01 00:02:06.990,28.54,32.13,32.86,33.46,Womens 200M Butterfly,Heats
3,AUS,Abbey Lee CONNOR,19,0.69,QUALIFIED,1900-01-01 00:02:07.130,28.38,31.82,32.65,34.28,Womens 200M Butterfly,Heats
4,DEN,Helena Rosendahl BACH,24,0.76,QUALIFIED,1900-01-01 00:02:07.340,28.76,32.05,33.08,33.45,Womens 200M Butterfly,Heats
5,USA,Alex SHACKELL,17,0.68,QUALIFIED,1900-01-01 00:02:07.490,28.46,31.99,33.14,33.90,Womens 200M Butterfly,Heats
6,CAN,Summer MCINTOSH,17,0.80,QUALIFIED,1900-01-01 00:02:07.700,27.96,32.25,33.37,34.12,Womens 200M Butterfly,Heats
7,GBR,Keanna Louise MACINNES,22,0.74,QUALIFIED,1900-01-01 00:02:08.460,29.20,32.29,33.49,33.48,Womens 200M Butterfly,Heats
8,AUS,Elizabeth DEKKERS,20,0.75,QUALIFIED,1900-01-01 00:02:08.970,29.17,33.03,32.97,33.80,Womens 200M Butterfly,Heats
9,JPN,Airi MITSUI,20,0.68,QUALIFIED,1900-01-01 00:02:09.120,29.46,32.67,33.30,33.69,Womens 200M Butterfly,Heats
10,HUN,Boglarka KAPAS,31,0.69,QUALIFIED,1900-01-01 00:02:09.280,29.63,33.22,33.39,33.04,Womens 200M Butterfly,Heats
11,CHN,Luying CHEN,17,0.72,QUALIFIED,1900-01-01 00:02:09.310,28.66,32.85,33.97,33.83,Womens 200M Butterfly,Heats
12,BIH,Lana PUDAR,18,0.75,QUALIFIED,1900-01-01 00:02:09.320,29.38,33.08,33.56,33.30,Womens 200M Butterfly,Heats
13,GRE,Georgia DAMASIOTI,21,0.72,QUALIFIED,1900-01-01 00:02:09.550,29.12,33.24,33.80,33.39,Womens 200M Butterfly,Heats
14,GBR,Laura STEPHENS,25,0.73,QUALIFIED,1900-01-01 00:02:10.460,28.79,32.57,33.47,35.63,Womens 200M Butterfly,Heats
15,JPN,Hiroko MAKINO,24,0.64,QUALIFIED,1900-01-01 00:02:10.790,28.88,33.00,33.89,35.02,Womens 200M Butterfly,Heats
16,ESP,Laura CABANES GARZAS,18,0.73,QUALIFIED,1900-01-01 00:02:10.820,29.36,33.26,33.78,34.42,Womens 200M Butterfly,Heats
17,SRB,Anja CREVAR,24,0.70,ELIMINATED,1900-01-01 00:02:18.460,30.65,34.15,36.48,37.18,Womens 200M Butterfly,Heats
18,CRC,Alondra ORTIZ,21,0.72,ELIMINATED,1900-01-01 00:02:18.560,30.47,34.52,36.48,37.09,Womens 200M Butterfly,Heats
19,ANG,Lia LIMA,22,0.78,ELIMINATED,1900-01-01 00:02:22.190,31.08,36.17,36.35,38.59,Womens 200M Butterfly,Heats
