Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,CAN,Summer MCINTOSH,17,0.75,QUALIFIED,1900-01-01 00:02:04.870,27.68,31.64,32.81,32.74,Womens 200M Butterfly,Semifinals
2,USA,Regan SMITH,22,0.69,QUALIFIED,1900-01-01 00:02:05.390,27.87,31.88,32.61,33.03,Womens 200M Butterfly,Semifinals
3,CHN,Yufei ZHANG,26,0.68,QUALIFIED,1900-01-01 00:02:06.090,27.00,32.12,33.22,33.75,Womens 200M Butterfly,Semifinals
4,AUS,Elizabeth DEKKERS,20,0.74,QUALIFIED,1900-01-01 00:02:06.170,28.81,31.82,32.27,33.27,Womens 200M Butterfly,Semifinals
5,USA,Alex SHACKELL,17,0.71,QUALIFIED,1900-01-01 00:02:06.460,28.07,31.95,32.37,34.07,Womens 200M Butterfly,Semifinals
6,DEN,Helena Rosendahl BACH,24,0.74,QUALIFIED,1900-01-01 00:02:06.650,28.30,31.85,32.90,33.60,Womens 200M Butterfly,Semifinals
7,AUS,Abbey Lee CONNOR,19,0.71,QUALIFIED,1900-01-01 00:02:07.100,28.04,31.91,32.64,34.51,Womens 200M Butterfly,Semifinals
8,GBR,Laura STEPHENS,25,0.68,QUALIFIED,1900-01-01 00:02:07.530,28.62,32.45,32.62,33.84,Womens 200M Butterfly,Semifinals
9,GBR,Keanna Louise MACINNES,22,0.68,ELIMINATED,1900-01-01 00:02:08.040,28.85,32.86,33.20,33.13,Womens 200M Butterfly,Semifinals
10,CHN,Luying CHEN,17,0.69,ELIMINATED,1900-01-01 00:02:08.070,28.65,33.40,33.24,32.78,Womens 200M Butterfly,Semifinals
11,JPN,Airi MITSUI,20,0.68,ELIMINATED,1900-01-01 00:02:08.710,29.31,32.87,32.93,33.60,Womens 200M Butterfly,Semifinals
12,BIH,Lana PUDAR,18,0.74,ELIMINATED,1900-01-01 00:02:08.740,28.41,31.97,33.54,34.82,Womens 200M Butterfly,Semifinals
13,JPN,Hiroko MAKINO,24,0.64,ELIMINATED,1900-01-01 00:02:09.160,28.74,32.47,33.93,34.02,Womens 200M Butterfly,Semifinals
14,HUN,Boglarka KAPAS,31,0.72,ELIMINATED,1900-01-01 00:02:09.230,29.58,33.00,33.18,33.47,Womens 200M Butterfly,Semifinals
15,GRE,Georgia DAMASIOTI,21,0.72,ELIMINATED,1900-01-01 00:02:10.250,29.15,33.07,34.14,33.89,Womens 200M Butterfly,Semifinals
16,ESP,Laura CABANES GARZAS,18,0.67,ELIMINATED,1900-01-01 00:02:10.600,28.94,32.43,33.86,35.37,Womens 200M Butterfly,Semifinals
