Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,AUS,Mollie O'CALLAGHAN,20,0.71,QUALIFIED,1900-01-01 00:01:55.790,27.48,29.74,30.06,28.51,Womens 200M Freestyle,Heats
2,CAN,Mary-Sophie HARVEY,24,0.72,QUALIFIED,1900-01-01 00:01:56.210,27.85,30.01,29.05,29.30,Womens 200M Freestyle,Heats
3,AUS,Ariarne TITMUS,23,0.76,QUALIFIED,1900-01-01 00:01:56.230,27.19,29.39,30.14,29.51,Womens 200M Freestyle,Heats
4,CHN,Bingjie LI,22,0.67,QUALIFIED,1900-01-01 00:01:56.280,27.67,29.44,29.83,29.34,Womens 200M Freestyle,Heats
5,HKG,Siobhan Bernadette HAUGHEY,26,0.70,QUALIFIED,1900-01-01 00:01:56.380,27.02,29.57,29.98,29.81,Womens 200M Freestyle,Heats
6,USA,Claire WEINSTEIN,17,0.75,QUALIFIED,1900-01-01 00:01:56.480,27.49,29.41,29.95,29.63,Womens 200M Freestyle,Heats
7,NZL,Erika FAIRWEATHER,20,0.76,QUALIFIED,1900-01-01 00:01:56.540,27.57,29.52,30.05,29.40,Womens 200M Freestyle,Heats
8,BRA,Maria Fernanda DE OLIVEIRA DA SILVA COSTA,21,0.72,QUALIFIED,1900-01-01 00:01:56.650,27.62,29.44,30.00,29.59,Womens 200M Freestyle,Heats
9,CHN,Junxuan YANG,22,0.68,QUALIFIED,1900-01-01 00:01:56.830,26.99,29.92,30.30,29.62,Womens 200M Freestyle,Heats
10,CZE,Barbora SEEMANOVA,24,0.64,QUALIFIED,1900-01-01 00:01:57.020,27.17,29.89,30.31,29.65,Womens 200M Freestyle,Heats
11,USA,Erin GEMMELL,19,0.76,QUALIFIED,1900-01-01 00:01:57.230,27.16,29.61,30.22,30.24,Womens 200M Freestyle,Heats
12,BEL,Valentine DUMONT,24,0.69,QUALIFIED,1900-01-01 00:01:57.500,27.74,29.59,30.14,30.03,Womens 200M Freestyle,Heats
13,HUN,Lilla Minna ABRAHAM,18,0.70,QUALIFIED,1900-01-01 00:01:57.770,28.04,30.01,29.98,29.74,Womens 200M Freestyle,Heats
14,RSA,Aimee CANNY,20,0.75,QUALIFIED,1900-01-01 00:01:57.810,27.52,29.78,30.17,30.34,Womens 200M Freestyle,Heats
15,ISL,Snaefridur Sol JORUNNARDOTTIR,23,0.73,QUALIFIED,1900-01-01 00:01:58.320,27.96,29.85,29.70,30.81,Womens 200M Freestyle,Heats
16,ROU,Rebecca-Aimee DIACONESCU,18,0.74,QUALIFIED,1900-01-01 00:01:59.290,27.82,30.36,31.01,30.10,Womens 200M Freestyle,Heats
17,GER,Julia MROZINSKI,24,0.70,ELIMINATED,1900-01-01 00:01:59.870,27.82,30.22,31.01,30.82,Womens 200M Freestyle,Heats
18,MGL,Enkhkhuslen BATBAYAR,22,0.71,ELIMINATED,1900-01-01 00:01:59.940,28.14,30.32,30.75,30.73,Womens 200M Freestyle,Heats
19,ISR,Lea POLONSKY,22,0.66,ELIMINATED,1900-01-01 00:02:00.380,28.42,30.15,30.63,31.18,Womens 200M Freestyle,Heats
20,VEN,Maria Victoria YEGRES COTTIN,18,0.70,ELIMINATED,1900-01-01 00:02:00.660,28.30,30.02,30.83,31.51,Womens 200M Freestyle,Heats
21,CUB,Andrea BECALI,20,0.73,ELIMINATED,1900-01-01 00:02:03.380,28.45,30.65,31.94,32.34,Womens 200M Freestyle,Heats
22,HON,Julimar AVILA MANCIA,27,0.66,ELIMINATED,1900-01-01 00:02:04.880,28.51,31.54,32.67,32.16,Womens 200M Freestyle,Heats
23,IND,Dhinidhi DESINGHU,14,0.70,ELIMINATED,1900-01-01 00:02:06.960,29.68,32.07,32.71,32.50,Womens 200M Freestyle,Heats
24,EGY,Lojine ABDALLA SALAH,19,0.72,ELIMINATED,1900-01-01 00:02:07.190,30.17,31.50,32.80,32.72,Womens 200M Freestyle,Heats
25,LAO,Ariana Southa DIRKZWAGER,20,0.70,ELIMINATED,1900-01-01 00:02:07.220,29.47,31.90,33.12,32.73,Womens 200M Freestyle,Heats
26,PAK,Jehanara NABI,20,0.73,ELIMINATED,1900-01-01 00:02:10.690,29.80,32.49,33.80,34.60,Womens 200M Freestyle,Heats
27,ALB,Kaltra MECA,16,0.76,ELIMINATED,1900-01-01 00:02:12.210,30.19,32.67,34.93,34.42,Womens 200M Freestyle,Heats
28,UAE,Maha ALSHEHHI,18,0.66,ELIMINATED,1900-01-01 00:02:17.170,31.23,34.12,35.58,36.24,Womens 200M Freestyle,Heats
29,KSA,Mashael Meshari A ALAYED,17,0.75,ELIMINATED,1900-01-01 00:02:19.610,33.26,35.00,35.15,36.20,Womens 200M Freestyle,Heats
30,NEP,Duana LAMA,18,0.67,ELIMINATED,1900-01-01 00:02:20.740,31.67,35.14,36.87,37.06,Womens 200M Freestyle,Heats
