Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,AUS,Ariarne TITMUS,23,0.71,QUALIFIED,1900-01-01 00:01:54.640,26.84,28.71,29.62,29.47,Womens 200M Freestyle,Semifinals
2,AUS,Mollie O'CALLAGHAN,20,0.69,QUALIFIED,1900-01-01 00:01:54.700,27.10,29.22,29.46,28.92,Womens 200M Freestyle,Semifinals
3,USA,Claire WEINSTEIN,17,0.74,QUALIFIED,1900-01-01 00:01:55.240,27.30,28.88,29.33,29.73,Womens 200M Freestyle,Semifinals
4,HKG,Siobhan Bernadette HAUGHEY,26,0.70,QUALIFIED,1900-01-01 00:01:55.510,26.98,29.15,29.34,30.04,Womens 200M Freestyle,Semifinals
5,CHN,Junxuan YANG,22,0.68,QUALIFIED,1900-01-01 00:01:55.900,26.77,29.40,29.87,29.86,Womens 200M Freestyle,Semifinals
6,CZE,Barbora SEEMANOVA,24,0.64,QUALIFIED,1900-01-01 00:01:56.060,26.67,29.48,30.00,29.91,Womens 200M Freestyle,Semifinals
7,NZL,Erika FAIRWEATHER,20,0.74,QUALIFIED,1900-01-01 00:01:56.310,27.29,29.22,29.77,30.03,Womens 200M Freestyle,Semifinals
8,CAN,Mary-Sophie HARVEY,24,0.69,QUALIFIED,1900-01-01 00:01:56.370,27.91,29.75,29.24,29.47,Womens 200M Freestyle,Semifinals
9,USA,Erin GEMMELL,19,0.75,ELIMINATED,1900-01-01 00:01:56.460,27.23,29.36,29.95,29.92,Womens 200M Freestyle,Semifinals
10,CHN,Bingjie LI,22,0.66,ELIMINATED,1900-01-01 00:01:56.560,27.78,29.67,29.80,29.31,Womens 200M Freestyle,Semifinals
11,BRA,Maria Fernanda DE OLIVEIRA DA SILVA COSTA,21,0.71,ELIMINATED,1900-01-01 00:01:56.890,27.83,29.63,29.93,29.50,Womens 200M Freestyle,Semifinals
12,RSA,Aimee CANNY,20,0.75,ELIMINATED,1900-01-01 00:01:57.340,27.23,29.86,30.11,30.14,Womens 200M Freestyle,Semifinals
13,BEL,Valentine DUMONT,24,0.70,ELIMINATED,1900-01-01 00:01:57.500,27.70,29.66,30.14,30.00,Womens 200M Freestyle,Semifinals
14,HUN,Lilla Minna ABRAHAM,18,0.72,ELIMINATED,1900-01-01 00:01:57.780,27.36,29.89,30.24,30.29,Womens 200M Freestyle,Semifinals
15,ISL,Snaefridur Sol JORUNNARDOTTIR,23,0.74,ELIMINATED,1900-01-01 00:01:58.780,28.03,29.97,30.54,30.24,Womens 200M Freestyle,Semifinals
16,ROU,Rebecca-Aimee DIACONESCU,18,0.76,ELIMINATED,1900-01-01 00:01:59.580,27.93,30.56,30.73,30.36,Womens 200M Freestyle,Semifinals
