Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,CAN,Summer MCINTOSH,17,0.77,QUALIFIED,1900-01-01 00:02:09.900,27.48,32.32,38.61,31.49,Womens 200M Individual Medley,Heats
2,CHN,Yiting YU,18,0.68,QUALIFIED,1900-01-01 00:02:10.280,27.97,33.19,38.00,31.12,Womens 200M Individual Medley,Heats
3,USA,Alex WALSH,23,0.74,QUALIFIED,1900-01-01 00:02:10.480,27.38,33.44,37.35,32.31,Womens 200M Individual Medley,Heats
4,CAN,Sydney PICKREM,27,0.70,QUALIFIED,1900-01-01 00:02:10.630,28.19,33.84,37.05,31.55,Womens 200M Individual Medley,Heats
5,USA,Kate DOUGLASS,22,0.70,QUALIFIED,1900-01-01 00:02:10.700,27.69,35.22,36.69,31.10,Womens 200M Individual Medley,Heats
6,AUS,Ella RAMSAY,20,0.64,QUALIFIED,1900-01-01 00:02:10.750,28.12,33.20,37.32,32.11,Womens 200M Individual Medley,Heats
7,GBR,Abbie WOOD,25,0.70,QUALIFIED,1900-01-01 00:02:10.950,28.23,33.35,37.94,31.43,Womens 200M Individual Medley,Heats
8,CHN,Shiwen YE,28,0.70,QUALIFIED,1900-01-01 00:02:10.960,28.53,32.47,38.41,31.55,Womens 200M Individual Medley,Heats
9,AUS,Kaylee MCKEOWN,23,0.67,QUALIFIED,1900-01-01 00:02:11.260,28.10,33.45,38.51,31.20,Womens 200M Individual Medley,Heats
10,FRA,Charlotte BONNET,29,0.70,QUALIFIED,1900-01-01 00:02:11.470,27.58,34.26,38.33,31.30,Womens 200M Individual Medley,Heats
11,ISR,Anastasia GORBENKO,20,0.68,QUALIFIED,1900-01-01 00:02:11.530,28.56,33.87,38.36,30.74,Womens 200M Individual Medley,Heats
12,ESP,Emma CARRASCO CADENS,18,0.63,QUALIFIED,1900-01-01 00:02:11.540,28.12,33.06,37.72,32.64,Womens 200M Individual Medley,Heats
13,JPN,Shiho MATSUMOTO,22,0.62,QUALIFIED,1900-01-01 00:02:11.670,28.14,33.71,38.22,31.60,Womens 200M Individual Medley,Heats
14,JPN,Yui OHASHI,28,0.67,QUALIFIED,1900-01-01 00:02:11.700,28.09,33.06,38.53,32.02,Womens 200M Individual Medley,Heats
15,IRL,Ellen WALSHE,22,0.65,QUALIFIED,1900-01-01 00:02:11.810,28.10,33.90,38.36,31.45,Womens 200M Individual Medley,Heats
16,RSA,Rebecca MEDER,22,0.70,QUALIFIED,1900-01-01 00:02:11.960,27.73,33.88,37.98,32.37,Womens 200M Individual Medley,Heats
17,KOR,Seoyeong KIM,30,0.63,ELIMINATED,1900-01-01 00:02:12.420,27.81,33.36,39.57,31.68,Womens 200M Individual Medley,Heats
18,GBR,Freya Constance COLBERT,20,0.69,ELIMINATED,1900-01-01 00:02:12.880,29.13,33.07,39.69,30.99,Womens 200M Individual Medley,Heats
19,ITA,Sara FRANCESCHI,25,0.71,ELIMINATED,1900-01-01 00:02:12.880,28.73,33.86,38.79,31.50,Womens 200M Individual Medley,Heats
20,NED,Marrit STEENBERGEN,24,0.75,ELIMINATED,1900-01-01 00:02:13.210,28.32,34.41,38.59,31.89,Womens 200M Individual Medley,Heats
21,PUR,Kristen Elena ROMANO,24,0.73,ELIMINATED,1900-01-01 00:02:13.320,28.18,33.47,39.34,32.33,Womens 200M Individual Medley,Heats
22,CZE,Barbora SEEMANOVA,24,0.64,ELIMINATED,1900-01-01 00:02:13.470,27.60,34.30,40.77,30.80,Womens 200M Individual Medley,Heats
23,SVK,Tamara POTOCKA,21,0.67,ELIMINATED,1900-01-01 00:02:14.200,27.46,34.21,39.81,32.72,Womens 200M Individual Medley,Heats
24,AUT,Lena KREUNDL,26,0.67,ELIMINATED,1900-01-01 00:02:15.040,28.15,34.13,39.46,33.30,Womens 200M Individual Medley,Heats
25,HUN,Dalma SEBESTYEN,27,0.73,ELIMINATED,1900-01-01 00:02:15.160,28.63,34.70,39.72,32.11,Womens 200M Individual Medley,Heats
26,LAT,Ieva MALUKA,21,0.69,ELIMINATED,1900-01-01 00:02:15.790,28.46,33.29,41.40,32.64,Womens 200M Individual Medley,Heats
27,VIE,Thi My Tien VO,18,0.67,ELIMINATED,1900-01-01 00:02:17.180,28.92,35.50,40.17,32.59,Womens 200M Individual Medley,Heats
28,ISR,Lea POLONSKY,22,0.68,ELIMINATED,1900-01-01 00:02:17.530,29.28,34.35,40.27,33.63,Womens 200M Individual Medley,Heats
29,PER,Mckenna DE BEVER,28,0.68,ELIMINATED,1900-01-01 00:02:17.610,28.96,34.06,40.95,33.64,Womens 200M Individual Medley,Heats
30,URU,Nicole FRANK,20,0.67,ELIMINATED,1900-01-01 00:02:18.000,29.34,34.40,39.83,34.43,Womens 200M Individual Medley,Heats
31,INA,Azzahra PERMATAHANI,22,0.68,ELIMINATED,1900-01-01 00:02:20.510,29.58,35.83,41.25,33.85,Womens 200M Individual Medley,Heats
32,PLE,Valerie Rose TARAZI,24,0.71,ELIMINATED,1900-01-01 00:02:20.560,30.39,35.28,40.60,34.29,Womens 200M Individual Medley,Heats
33,CPV,Jayla PINA,20,0.67,ELIMINATED,1900-01-01 00:02:24.510,30.52,37.23,41.52,35.24,Womens 200M Individual Medley,Heats
