Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,USA,Alex WALSH,23,0.74,QUALIFIED,1900-01-01 00:02:07.450,27.19,32.73,36.70,30.83,Womens 200M Individual Medley,Semifinals
2,CAN,Summer MCINTOSH,17,0.76,QUALIFIED,1900-01-01 00:02:08.300,26.94,32.10,38.66,30.60,Womens 200M Individual Medley,Semifinals
3,USA,Kate DOUGLASS,22,0.65,QUALIFIED,1900-01-01 00:02:08.590,27.07,33.83,37.06,30.63,Womens 200M Individual Medley,Semifinals
4,GBR,Abbie WOOD,25,0.69,QUALIFIED,1900-01-01 00:02:09.640,27.70,33.27,37.60,31.07,Womens 200M Individual Medley,Semifinals
5,CAN,Sydney PICKREM,27,0.70,QUALIFIED,1900-01-01 00:02:09.650,27.99,33.40,36.69,31.57,Womens 200M Individual Medley,Semifinals
6,CHN,Yiting YU,18,0.68,QUALIFIED,1900-01-01 00:02:09.740,27.08,33.39,37.52,31.75,Womens 200M Individual Medley,Semifinals
7,AUS,Kaylee MCKEOWN,23,0.65,QUALIFIED,1900-01-01 00:02:09.970,28.14,32.63,38.19,31.01,Womens 200M Individual Medley,Semifinals
8,AUS,Ella RAMSAY,20,0.64,QUALIFIED,1900-01-01 00:02:10.160,27.69,33.30,37.36,31.81,Womens 200M Individual Medley,Semifinals
9,ISR,Anastasia GORBENKO,20,0.67,ELIMINATED,1900-01-01 00:02:10.320,27.84,32.47,38.36,31.65,Womens 200M Individual Medley,Semifinals
10,CHN,Shiwen YE,28,0.69,ELIMINATED,1900-01-01 00:02:10.450,28.45,33.10,38.09,30.81,Womens 200M Individual Medley,Semifinals
11,RSA,Rebecca MEDER,22,0.70,ELIMINATED,1900-01-01 00:02:10.670,27.45,34.05,38.38,30.79,Womens 200M Individual Medley,Semifinals
12,JPN,Yui OHASHI,28,0.72,ELIMINATED,1900-01-01 00:02:10.940,27.97,33.49,38.20,31.28,Womens 200M Individual Medley,Semifinals
13,IRL,Ellen WALSHE,22,0.66,ELIMINATED,1900-01-01 00:02:11.350,28.24,33.35,38.33,31.43,Womens 200M Individual Medley,Semifinals
14,JPN,Shiho MATSUMOTO,22,0.60,ELIMINATED,1900-01-01 00:02:11.850,27.74,33.59,38.35,32.17,Womens 200M Individual Medley,Semifinals
15,ESP,Emma CARRASCO CADENS,18,0.62,ELIMINATED,1900-01-01 00:02:12.250,28.05,33.37,38.18,32.65,Womens 200M Individual Medley,Semifinals
16,FRA,Charlotte BONNET,29,0.70,ELIMINATED,1900-01-01 00:02:12.800,27.36,34.26,39.36,31.82,Womens 200M Individual Medley,Semifinals
