Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,250m,300m,350m,400m,Event,Round
1,USA,Emma WEYANT,22,0.79,QUALIFIED,1900-01-01 00:04:36.270,29.68,33.23,36.02,34.46,39.81,40.21,32.12,30.74,Womens 400M Individual Medley,Heats
2,USA,Katie GRIMES,18,0.67,QUALIFIED,1900-01-01 00:04:37.240,28.56,32.29,34.23,33.99,42.15,42.51,32.22,31.29,Womens 400M Individual Medley,Heats
3,CAN,Summer MCINTOSH,17,0.81,QUALIFIED,1900-01-01 00:04:37.350,27.60,32.39,35.39,34.04,39.99,41.45,33.97,32.52,Womens 400M Individual Medley,Heats
4,GBR,Freya Constance COLBERT,20,0.69,QUALIFIED,1900-01-01 00:04:37.620,29.59,33.13,35.07,34.57,40.11,40.90,32.56,31.69,Womens 400M Individual Medley,Heats
5,JPN,Mio NARITA,17,0.65,QUALIFIED,1900-01-01 00:04:37.840,28.85,33.93,37.43,35.99,39.33,39.71,31.23,31.37,Womens 400M Individual Medley,Heats
6,AUS,Ella RAMSAY,20,0.65,QUALIFIED,1900-01-01 00:04:39.040,28.70,32.50,34.88,34.67,39.14,41.21,35.01,32.93,Womens 400M Individual Medley,Heats
7,IRL,Ellen WALSHE,22,0.69,QUALIFIED,1900-01-01 00:04:39.970,29.21,34.01,36.73,36.35,39.39,39.82,32.32,32.14,Womens 400M Individual Medley,Heats
8,GBR,Katie SHANAHAN,20,0.75,QUALIFIED,1900-01-01 00:04:40.400,30.42,33.82,35.11,34.47,39.92,41.09,33.39,32.18,Womens 400M Individual Medley,Heats
9,AUS,Jenna FORRESTER,21,0.69,ELIMINATED,1900-01-01 00:04:40.550,29.47,33.36,35.68,34.91,40.58,40.86,33.95,31.74,Womens 400M Individual Medley,Heats
10,ISR,Anastasia GORBENKO,20,0.72,ELIMINATED,1900-01-01 00:04:41.640,28.08,33.22,35.85,35.82,41.30,41.51,33.16,32.70,Womens 400M Individual Medley,Heats
11,CAN,Ella Christina JANSEN,18,0.75,ELIMINATED,1900-01-01 00:04:42.060,28.91,33.80,36.74,36.42,40.26,41.65,32.22,32.06,Womens 400M Individual Medley,Heats
12,ESP,Emma CARRASCO CADENS,18,0.64,ELIMINATED,1900-01-01 00:04:43.130,28.77,33.36,35.96,35.91,39.52,40.20,35.24,34.17,Womens 400M Individual Medley,Heats
13,JPN,Ageha TANIGAWA,21,0.64,ELIMINATED,1900-01-01 00:04:43.180,29.39,34.08,36.81,35.99,40.49,41.23,33.25,31.94,Womens 400M Individual Medley,Heats
14,HUN,Vivien JACKL,15,0.75,ELIMINATED,1900-01-01 00:04:44.470,30.12,33.90,35.42,34.55,42.76,43.18,32.56,31.98,Womens 400M Individual Medley,Heats
15,ITA,Sara FRANCESCHI,25,0.70,ELIMINATED,1900-01-01 00:04:48.890,29.35,34.24,36.41,35.92,41.35,43.06,34.91,33.65,Womens 400M Individual Medley,Heats
16,SRB,Anja CREVAR,24,0.69,ELIMINATED,1900-01-01 00:04:49.160,30.22,33.84,37.30,36.56,40.72,41.79,34.94,33.79,Womens 400M Individual Medley,Heats
