Place,Country,Name,Age,RT,Status,Time,Event,Round
1,SWE,Sarah SJOESTROEM,30,0.64,QUALIFIED,1900-01-01 00:00:23.850,Womens 50M Freestyle,Heats
2,POL,Katarzyna WASICK,32,0.64,QUALIFIED,1900-01-01 00:00:24.270,Womens 50M Freestyle,Heats
3,USA,Gretchen WALSH,21,0.73,QUALIFIED,1900-01-01 00:00:24.370,Womens 50M Freestyle,Heats
4,AUS,Shayna JACK,25,0.70,QUALIFIED,1900-01-01 00:00:24.380,Womens 50M Freestyle,Heats
5,AUS,Meg HARRIS,22,0.70,QUALIFIED,1900-01-01 00:00:24.500,Womens 50M Freestyle,Heats
6,CHN,Yufei ZHANG,26,0.68,QUALIFIED,1900-01-01 00:00:24.540,Womens 50M Freestyle,Heats
7,SWE,Michelle COLEMAN,30,0.68,QUALIFIED,1900-01-01 00:00:24.550,Womens 50M Freestyle,Heats
8,CAN,Taylor RUCK,24,0.67,QUALIFIED,1900-01-01 00:00:24.570,Womens 50M Freestyle,Heats
9,CHN,Qingfeng WU,21,0.69,QUALIFIED,1900-01-01 00:00:24.570,Womens 50M Freestyle,Heats
10,FRA,Beryl GASTALDELLO,29,0.64,QUALIFIED,1900-01-01 00:00:24.600,Womens 50M Freestyle,Heats
11,DEN,Julie Kepp JENSEN,24,0.65,QUALIFIED,1900-01-01 00:00:24.640,Womens 50M Freestyle,Heats
12,SLO,Neza KLANCAR,24,0.68,QUALIFIED,1900-01-01 00:00:24.640,Womens 50M Freestyle,Heats
13,ITA,Sara CURTIS,17,0.68,QUALIFIED,1900-01-01 00:00:24.670,Womens 50M Freestyle,Heats
14,BEL,Florine GASPARD,22,0.70,QUALIFIED,1900-01-01 00:00:24.690,Womens 50M Freestyle,Heats
15,GBR,Anna HOPKIN,28,0.68,QUALIFIED,1900-01-01 00:00:24.720,Womens 50M Freestyle,Heats
16,NED,Valerie VAN ROON,25,0.69,QUALIFIED,1900-01-01 00:00:24.720,Womens 50M Freestyle,Heats
17,GRE,Theodora DRAKOU,32,0.62,ELIMINATED,1900-01-01 00:00:24.800,Womens 50M Freestyle,Heats
18,NED,Kim BUSCH,26,0.72,ELIMINATED,1900-01-01 00:00:24.870,Womens 50M Freestyle,Heats
19,USA,Simone MANUEL,28,0.68,ELIMINATED,1900-01-01 00:00:24.870,Womens 50M Freestyle,Heats
