Place,Country,Name,Age,RT,Status,Time,Event,Round
1,SWE,Sarah SJOESTROEM,30,0.64,QUALIFIED,1900-01-01 00:00:23.660,Womens 50M Freestyle,Semifinals
2,USA,Gretchen WALSH,21,0.74,QUALIFIED,1900-01-01 00:00:24.170,Womens 50M Freestyle,Semifinals
3,POL,Katarzyna WASICK,32,0.66,QUALIFIED,1900-01-01 00:00:24.230,Womens 50M Freestyle,Semifinals
4,CHN,Yufei ZHANG,26,0.67,QUALIFIED,1900-01-01 00:00:24.240,Womens 50M Freestyle,Semifinals
5,AUS,Shayna JACK,25,0.70,QUALIFIED,1900-01-01 00:00:24.290,Womens 50M Freestyle,Semifinals
6,AUS,Meg HARRIS,22,0.70,QUALIFIED,1900-01-01 00:00:24.330,Womens 50M Freestyle,Semifinals
7,SLO,Neza KLANCAR,24,0.67,QUALIFIED,1900-01-01 00:00:24.400,Womens 50M Freestyle,Semifinals
8,CHN,Qingfeng WU,21,0.70,QUALIFIED,1900-01-01 00:00:24.400,Womens 50M Freestyle,Semifinals
9,SWE,Michelle COLEMAN,30,0.69,ELIMINATED,1900-01-01 00:00:24.470,Womens 50M Freestyle,Semifinals
10,GBR,Anna HOPKIN,28,0.68,ELIMINATED,1900-01-01 00:00:24.500,Womens 50M Freestyle,Semifinals
11,FRA,Beryl GASTALDELLO,29,0.62,ELIMINATED,1900-01-01 00:00:24.660,Womens 50M Freestyle,Semifinals
12,NED,Valerie VAN ROON,25,0.71,ELIMINATED,1900-01-01 00:00:24.670,Womens 50M Freestyle,Semifinals
13,CAN,Taylor RUCK,24,0.66,ELIMINATED,1900-01-01 00:00:24.720,Womens 50M Freestyle,Semifinals
14,ITA,Sara CURTIS,17,0.68,ELIMINATED,1900-01-01 00:00:24.770,Womens 50M Freestyle,Semifinals
15,BEL,Florine GASPARD,22,0.70,ELIMINATED,1900-01-01 00:00:24.820,Womens 50M Freestyle,Semifinals
16,DEN,Julie Kepp JENSEN,24,0.66,ELIMINATED,1900-01-01 00:00:24.980,Womens 50M Freestyle,Semifinals
