Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,250m,300m,350m,400m,450m,500m,550m,600m,650m,700m,750m,800m,Event,Round
1,USA,Katie LEDECKY,27,0.69,QUALIFIED,1900-01-01 00:08:16.620,27.93,30.39,30.75,31.20,31.28,31.37,31.43,31.70,31.25,31.73,31.47,31.72,31.56,31.76,30.97,30.11,Womens 800M Freestyle,Heats
2,USA,Paige MADDEN,25,0.74,QUALIFIED,1900-01-01 00:08:18.480,28.99,31.20,30.99,31.82,31.55,31.57,31.40,31.63,31.10,31.37,31.11,31.46,31.44,31.23,31.08,30.54,Womens 800M Freestyle,Heats
3,AUS,Ariarne TITMUS,23,0.73,QUALIFIED,1900-01-01 00:08:19.870,28.07,30.54,30.71,31.25,31.36,31.60,31.60,31.80,31.64,31.74,31.71,32.08,31.70,31.79,31.70,30.58,Womens 800M Freestyle,Heats
4,AUS,Lani PALLISTER,22,0.71,QUALIFIED,1900-01-01 00:08:20.210,29.21,31.15,31.54,31.48,31.38,31.16,31.50,31.47,31.17,31.28,31.26,31.44,31.64,32.02,31.52,30.99,Womens 800M Freestyle,Heats
5,GER,Isabel GOSE,22,0.74,QUALIFIED,1900-01-01 00:08:20.630,29.16,31.27,31.35,31.44,31.46,31.41,31.38,31.45,31.35,31.55,31.41,31.79,31.64,31.71,31.60,30.66,Womens 800M Freestyle,Heats
6,ITA,Simona QUADARELLA,25,0.77,QUALIFIED,1900-01-01 00:08:20.890,29.49,31.30,31.22,31.65,31.38,31.49,31.53,31.80,31.55,31.78,31.42,31.57,31.69,31.34,31.21,30.47,Womens 800M Freestyle,Heats
7,NZL,Erika FAIRWEATHER,20,0.76,QUALIFIED,1900-01-01 00:08:22.220,28.92,31.26,31.57,31.45,31.39,31.57,31.32,31.88,32.15,32.26,32.06,31.97,32.35,32.01,31.06,29.00,Womens 800M Freestyle,Heats
8,FRA,Anastasiia KIRPICHNIKOVA,24,0.74,QUALIFIED,1900-01-01 00:08:22.990,28.92,31.21,31.52,31.68,31.70,31.61,31.81,31.78,31.77,31.64,31.83,31.59,31.91,31.76,31.77,30.49,Womens 800M Freestyle,Heats
9,CHN,Bingjie LI,22,0.70,ELIMINATED,1900-01-01 00:08:27.920,29.17,31.70,31.57,32.01,31.85,32.10,32.06,32.62,32.34,32.43,32.31,32.09,31.56,31.96,31.48,30.67,Womens 800M Freestyle,Heats
10,BRA,Maria Fernanda DE OLIVEIRA DA SILVA COSTA,21,0.73,ELIMINATED,1900-01-01 00:08:32.200,29.09,31.15,32.06,31.67,32.25,31.91,32.61,32.40,32.67,32.26,32.75,32.03,32.91,32.78,32.37,31.29,Womens 800M Freestyle,Heats
11,SGP,Ching Hwee GAN,21,0.65,ELIMINATED,1900-01-01 00:08:32.370,29.36,31.44,31.69,31.89,32.08,32.05,32.38,32.07,32.44,32.27,32.53,32.61,32.66,32.56,32.55,31.79,Womens 800M Freestyle,Heats
12,NZL,Eve THOMAS,23,0.72,ELIMINATED,1900-01-01 00:08:33.250,29.56,31.43,31.94,32.14,32.26,32.52,32.27,32.39,32.78,32.65,32.39,33.07,32.58,32.50,31.94,30.83,Womens 800M Freestyle,Heats
13,HUN,Ajna KESELY,22,0.72,ELIMINATED,1900-01-01 00:08:36.130,30.13,31.88,32.30,31.85,32.35,32.06,32.70,32.41,32.96,32.76,32.90,32.63,32.48,32.66,32.32,31.74,Womens 800M Freestyle,Heats
14,ARG,Agostina HEIN,16,0.81,ELIMINATED,1900-01-01 00:08:37.430,29.21,31.98,32.48,32.74,32.55,32.52,32.37,32.85,32.63,32.85,32.92,32.77,32.55,32.81,32.78,31.42,Womens 800M Freestyle,Heats
15,CHI,Kristel KOBRICH,38,0.80,ELIMINATED,1900-01-01 00:08:46.460,31.13,32.60,32.59,32.97,32.96,33.17,33.16,33.22,33.22,33.26,33.21,33.11,33.29,33.30,32.99,32.28,Womens 800M Freestyle,Heats
16,TUN,Jamila BOULAKBECH,17,0.73,ELIMINATED,1900-01-01 00:09:21.380,30.59,33.95,34.17,34.35,34.46,34.90,35.35,35.45,35.45,36.09,36.11,36.38,36.34,36.62,35.84,35.33,Womens 800M Freestyle,Heats
