Country Code,Full Name,First Name,Last Name,Age,Event
AUS,Iona ANDERSON,Iona,ANDERSON,18,Women100Back
AUS,Kaylee MCKEOWN,Kaylee,MCKEOWN,23,Women100Back
BEL,Roos VANOTTERDIJK,Roos,VANOTTERDIJK,19,Women100Back
BER,Emma HARVEY,Emma,HARVEY,23,Women100Back
BRN,Amani ALOBAIDLI,Amani,ALOBAIDLI,18,Women100Back
BUL,Gabriela GEORGIEVA,Gabriela,GEORGIEVA,27,Women100Back
CAN,Kylie MASSE,Kylie,MASSE,28,Women100Back
CAN,Ingrid WILM,Ingrid,WILM,26,Women100Back
CHN,Letian WAN,Letian,WAN,19,Women100Back
CHN,Xueer WANG,Xueer,WANG,26,Women100Back
DOM,Elizabeth JIMENEZ,Elizabeth,JIMENEZ,18,Women100Back
ESA,Celina MARQUEZ,Celina,MARQUEZ,25,Women100Back
ESP,Carmen WEILER SASTRE,Carmen,WEILER SASTRE,19,Women100Back
FRA,Beryl GASTALDELLO,Beryl,GASTALDELLO,29,Women100Back
FRA,Emma TEREBO,Emma,TEREBO,26,Women100Back
GBR,Kathleen DAWSON,Kathleen,DAWSON,26,Women100Back
GBR,Medi Eira HARRIS,Medi Eira,HARRIS,21,Women100Back
GUA,Lucero MEJIA,Lucero,MEJIA,16,Women100Back
HKG,Sum Yuet Cindy CHEUNG,Sum Yuet Cindy,CHEUNG,17,Women100Back
IRL,Danielle HILL,Danielle,HILL,24,Women100Back
ISR,Aviv BARZELAY,Aviv,BARZELAY,22,Women100Back
KAZ,Xeniya IGNATOVA,Xeniya,IGNATOVA,18,Women100Back
LBA,Maleek ALMUKHTAR,Maleek,ALMUKHTAR,17,Women100Back
MEX,Celia PULIDO ORTIZ,Celia,PULIDO ORTIZ,21,Women100Back
MOZ,Denise DONELLI,Denise,DONELLI,28,Women100Back
NED,Maaike DE WAARD,Maaike,DE WAARD,27,Women100Back
NED,Kira TOUSSAINT,Kira,TOUSSAINT,30,Women100Back
AIN,Anastasiya SHKURDAI,Anastasiya,SHKURDAI,21,Women100Back
POL,Adela PISKORSKA,Adela,PISKORSKA,20,Women100Back
SRI,Ganga SENAVIRATHNE,Ganga,SENAVIRATHNE,21,Women100Back
SWE,Louise HANSSON,Louise,HANSSON,27,Women100Back
TKM,Aynura PRIMOVA,Aynura,PRIMOVA,17,Women100Back
TTO,Zuri FERGUSON,Zuri,FERGUSON,17,Women100Back
UKR,Nika SHARAFUTDINOVA,Nika,SHARAFUTDINOVA,19,Women100Back
USA,Katharine BERKOFF,Katharine,BERKOFF,23,Women100Back
USA,Regan SMITH,Regan,SMITH,22,Women100Back
