Country Code,Full Name,First Name,Last Name,Age,Event
ANG,Lia LIMA,Lia,LIMA,22,Women200Fly
AUS,Abbey Lee CONNOR,Abbey Lee,CONNOR,19,Women200Fly
AUS,Elizabeth DEKKERS,Elizabeth,DEKKERS,20,Women200Fly
BIH,Lana PUDAR,Lana,PUDAR,18,Women200Fly
CAN,Summer MCINTOSH,Summer,MCINTOSH,17,Women200Fly
CHN,Luying CHEN,Luying,CHEN,17,Women200Fly
CHN,Yufei ZHANG,Yufei,ZHANG,26,Women200Fly
CRC,Alondra ORTIZ,Alondra,ORTIZ,21,Women200Fly
DEN,Helena Rosendahl BACH,Helena Rosendahl,BACH,24,Women200Fly
ESP,Laura CABANES GARZAS,Laura,CABANES GARZAS,18,Women200Fly
GBR,Keanna Louise MACINNES,Keanna Louise,MACINNES,22,Women200Fly
GBR,Laura STEPHENS,Laura,STEPHENS,25,Women200Fly
GRE,Georgia DAMASIOTI,Georgia,DAMASIOTI,21,Women200Fly
HUN,Boglarka KAPAS,Boglarka,KAPAS,31,Women200Fly
JPN,Hiroko MAKINO,Hiroko,MAKINO,24,Women200Fly
JPN,Airi MITSUI,Airi,MITSUI,20,Women200Fly
SRB,Anja CREVAR,Anja,CREVAR,24,Women200Fly
USA,Alex SHACKELL,Alex,SHACKELL,17,Women200Fly
USA,Regan SMITH,Regan,SMITH,22,Women200Fly
